statement_type,periodo,conta,valor
DRE,2024-10,receita_liquida,2094935.46
DRE,2024-10,cmv,-1150627.64
DRE,2024-10,lucro_bruto,944307.82
DRE,2024-10,despesas_operacionais,-66215.98
DRE,2024-10,ebitda,878091.84
DRE,2024-10,lucro_liquido,878091.84
BALANCO,2024-10,ativo_circulante,8616924.8
BALANCO,2024-10,passivo_circulante,377088.38
BALANCO,2024-10,passivo_nao_circulante,167594.84
BALANCO,2024-10,patrimonio_liquido,8072241.58
DFC,2024-10,caixa_operacional,878091.84
DFC,2024-10,caixa_investimento,-52373.39
DFC,2024-10,caixa_financiamento,0.0
DFC,2024-10,variacao_caixa,825718.45
DFC,2024-10,caixa_final,8616924.8
DRE,2024-11,receita_bruta,2603461.75
DRE,2024-11,receita_liquida,2603461.75
DRE,2024-11,cmv,-1420655.29
DRE,2024-11,lucro_bruto,1182806.46
DRE,2024-11,despesas_operacionais,-67373.43
DRE,2024-11,ebitda,1115433.03
DRE,2024-11,lucro_liquido,1115433.03
BALANCO,2024-11,ativo_circulante,9732357.83
BALANCO,2024-11,passivo_circulante,468623.11
BALANCO,2024-11,passivo_nao_circulante,208276.94
BALANCO,2024-11,patrimonio_liquido,9055457.77
DFC,2024-11,caixa_operacional,1115433.03
DFC,2024-11,caixa_investimento,0.0
DFC,2024-11,caixa_financiamento,0.0
DFC,2024-11,variacao_caixa,1115433.03
DFC,2024-11,caixa_final,9732357.83
DRE,2024-12,receita_bruta,2601941.89
DRE,2024-12,receita_liquida,2601941.89
DRE,2024-12,cmv,-1424303.78
DRE,2024-12,lucro_bruto,1177638.11
DRE,2024-12,despesas_operacionais,-69621.21
DRE,2024-12,ebitda,1108016.9
DRE,2024-12,lucro_liquido,1108016.9
BALANCO,2024-12,ativo_circulante,10840374.73
BALANCO,2024-12,passivo_circulante,468349.54
BALANCO,2024-12,passivo_nao_circulante,208155.35
BALANCO,2024-12,patrimonio_liquido,10163869.84
DFC,2024-12,caixa_operacional,1108016.9
DFC,2024-12,caixa_investimento,0.0
DFC,2024-12,caixa_financiamento,0.0
DFC,2024-12,variacao_caixa,1108016.9
DFC,2024-12,caixa_final,10840374.73
DRE,2025-01,receita_bruta,2893923.41
DRE,2025-01,receita_liquida,2893923.41
DRE,2025-01,cmv,-1574870.63
DRE,2025-01,lucro_bruto,1319052.78
DRE,2025-01,despesas_operacionais,-67085.71
DRE,2025-01,ebitda,1251967.07
DRE,2025-01,lucro_liquido,1251967.07
BALANCO,2025-01,ativo_circulante,12092341.8
BALANCO,2025-01,passivo_circulante,520906.21
BALANCO,2025-01,passivo_nao_circulante,231513.87
BALANCO,2025-01,patrimonio_liquido,11339921.71
DFC,2025-01,caixa_operacional,1251967.07
DFC,2025-01,caixa_investimento,-72348.09
DFC,2025-01,caixa_financiamento,43408.85
DFC,2025-01,variacao_caixa,1223027.84
DFC,2025-01,caixa_final,12092341.8
DRE,2025-02,receita_bruta,2485788.55
DRE,2025-02,receita_liquida,2485788.55
DRE,2025-02,cmv,-1351882.59
DRE,2025-02,lucro_bruto,1133905.96
DRE,2025-02,despesas_operacionais,-70846.8
DRE,2025-02,ebitda,1063059.16
DRE,2025-02,lucro_liquido,1063059.16
BALANCO,2025-02,ativo_circulante,13155400.96
BALANCO,2025-02,passivo_circulante,447441.94
BALANCO,2025-02,passivo_nao_circulante,198863.08
BALANCO,2025-02,patrimonio_liquido,12509095.94
DFC,2025-02,caixa_operacional,1063059.16
DFC,2025-02,caixa_investimento,0.0
DFC,2025-02,caixa_financiamento,0.0
DFC,2025-02,variacao_caixa,1063059.16
DFC,2025-02,caixa_final,13155400.96
DRE,2025-03,receita_bruta,2967034.06
DRE,2025-03,receita_liquida,2967034.06
DRE,2025-03,cmv,-1618662.53
DRE,2025-03,lucro_bruto,1348371.53
DRE,2025-03,despesas_operacionais,-69426.06
DRE,2025-03,ebitda,1278945.47
DRE,2025-03,lucro_liquido,1278945.47
BALANCO,2025-03,ativo_circulante,14434346.43
BALANCO,2025-03,passivo_circulante,534066.13
BALANCO,2025-03,passivo_nao_circulante,237362.72
BALANCO,2025-03,patrimonio_liquido,13662917.57
DFC,2025-03,caixa_operacional,1278945.47
DFC,2025-03,caixa_investimento,0.0
DFC,2025-03,caixa_financiamento,0.0
DFC,2025-03,variacao_caixa,1278945.47
DFC,2025-03,caixa_final,14434346.43
DRE,2025-04,receita_bruta,2765864.7
DRE,2025-04,receita_liquida,2765864.7
DRE,2025-04,cmv,-1518908.73
DRE,2025-04,lucro_bruto,1246955.97
DRE,2025-04,despesas_operacionais,-68567.8
DRE,2025-04,ebitda,1178388.17
DRE,2025-04,lucro_liquido,1178388.17
BALANCO,2025-04,ativo_circulante,15612734.6
BALANCO,2025-04,passivo_circulante,497855.65
BALANCO,2025-04,passivo_nao_circulante,221269.18
BALANCO,2025-04,patrimonio_liquido,14893609.78
DFC,2025-04,caixa_operacional,1178388.17
DFC,2025-04,caixa_investimento,-69146.62
DFC,2025-04,caixa_financiamento,0.0
DFC,2025-04,variacao_caixa,1109241.55
DFC,2025-04,caixa_final,15612734.6
DRE,2025-05,receita_bruta,2722351.09
DRE,2025-05,receita_liquida,2722351.09
DRE,2025-05,cmv,-1498378.16
DRE,2025-05,lucro_bruto,1223972.93
DRE,2025-05,despesas_operacionais,-68293.15
DRE,2025-05,ebitda,1155679.78
DRE,2025-05,lucro_liquido,1155679.78
BALANCO,2025-05,ativo_circulante,16768414.38
BALANCO,2025-05,passivo_circulante,490023.2
BALANCO,2025-05,passivo_nao_circulante,217788.09
BALANCO,2025-05,patrimonio_liquido,16060603.1
DFC,2025-05,caixa_operacional,1155679.78
DFC,2025-05,caixa_investimento,0.0
DFC,2025-05,caixa_financiamento,0.0
DFC,2025-05,variacao_caixa,1155679.78
DFC,2025-05,caixa_final,16768414.38
DRE,2025-06,receita_bruta,2773123.46
DRE,2025-06,receita_liquida,2773123.46
DRE,2025-06,cmv,-1518875.71
DRE,2025-06,lucro_bruto,1254247.75
DRE,2025-06,despesas_operacionais,-70560.93
DRE,2025-06,ebitda,1183686.82
DRE,2025-06,lucro_liquido,1183686.82
BALANCO,2025-06,ativo_circulante,17952101.2
BALANCO,2025-06,passivo_circulante,499162.22
BALANCO,2025-06,passivo_nao_circulante,221849.88
BALANCO,2025-06,patrimonio_liquido,17231089.1
DFC,2025-06,caixa_operacional,1183686.82
DFC,2025-06,caixa_investimento,0.0
DFC,2025-06,caixa_financiamento,0.0
DFC,2025-06,variacao_caixa,1183686.82
DFC,2025-06,caixa_final,17952101.2
DRE,2025-07,receita_bruta,3035956.89
DRE,2025-07,receita_liquida,3035956.89
DRE,2025-07,cmv,-1665753.2
DRE,2025-07,lucro_bruto,1370203.69
DRE,2025-07,despesas_operacionais,-69951.51
DRE,2025-07,ebitda,1300252.18
DRE,2025-07,lucro_liquido,1300252.18
BALANCO,2025-07,ativo_circulante,19252353.38
BALANCO,2025-07,passivo_circulante,546472.24
BALANCO,2025-07,passivo_nao_circulante,242876.55
BALANCO,2025-07,patrimonio_liquido,18463004.59
DFC,2025-07,caixa_operacional,1300252.18
DFC,2025-07,caixa_investimento,-75898.92
DFC,2025-07,caixa_financiamento,45539.35
DFC,2025-07,variacao_caixa,1269892.61
DFC,2025-07,caixa_final,19252353.38
DRE,2025-08,receita_bruta,2594808.08
DRE,2025-08,receita_liquida,2594808.08
DRE,2025-08,cmv,-1424377.64
DRE,2025-08,lucro_bruto,1170430.44
DRE,2025-08,despesas_operacionais,-66076.26
DRE,2025-08,ebitda,1104354.18
DRE,2025-08,lucro_liquido,1104354.18
BALANCO,2025-08,ativo_circulante,20356707.56
BALANCO,2025-08,passivo_circulante,467065.45
BALANCO,2025-08,passivo_nao_circulante,207584.65
BALANCO,2025-08,patrimonio_liquido,19682057.46
DFC,2025-08,caixa_operacional,1104354.18
DFC,2025-08,caixa_investimento,0.0
DFC,2025-08,caixa_financiamento,0.0
DFC,2025-08,variacao_caixa,1104354.18
DFC,2025-08,caixa_final,20356707.56
DRE,2025-09,receita_bruta,3072746.87
DRE,2025-09,receita_liquida,3072746.87
DRE,2025-09,cmv,-1704936.67
DRE,2025-09,lucro_bruto,1367810.2
DRE,2025-09,despesas_operacionais,-68359.22
DRE,2025-09,ebitda,1299450.98
DRE,2025-09,lucro_liquido,1299450.98
BALANCO,2025-09,ativo_circulante,21656158.54
BALANCO,2025-09,passivo_circulante,553094.44
BALANCO,2025-09,passivo_nao_circulante,245819.75
BALANCO,2025-09,patrimonio_liquido,20857244.35
DFC,2025-09,caixa_operacional,1299450.98
DFC,2025-09,caixa_investimento,0.0
DFC,2025-09,caixa_financiamento,0.0
DFC,2025-09,variacao_caixa,1299450.98
DFC,2025-09,caixa_final,21656158.54
DRE,2025-10,receita_bruta,3137061.25
DRE,2025-10,receita_liquida,3137061.25
DRE,2025-10,cmv,-1728719.76
DRE,2025-10,lucro_bruto,1408341.49
DRE,2025-10,despesas_operacionais,-68336.61
DRE,2025-10,ebitda,1340004.88
DRE,2025-10,lucro_liquido,1340004.88
BALANCO,2025-10,ativo_circulante,22996163.42
BALANCO,2025-10,passivo_circulante,564671.03
BALANCO,2025-10,passivo_nao_circulante,250964.9
BALANCO,2025-10,patrimonio_liquido,22180527.5
DFC,2025-10,caixa_operacional,1340004.88
DFC,2025-10,caixa_investimento,-78426.53
DFC,2025-10,caixa_financiamento,0.0
DFC,2025-10,variacao_caixa,1261578.35
DFC,2025-10,caixa_final,22996163.42
DRE,2025-11,receita_bruta,4088972.63
DRE,2025-11,receita_liquida,4088972.63
DRE,2025-11,cmv,-2215787.59
DRE,2025-11,lucro_bruto,1873185.04
DRE,2025-11,despesas_operacionais,-66396.89
DRE,2025-11,ebitda,1806788.15
DRE,2025-11,lucro_liquido,1806788.15
BALANCO,2025-11,ativo_circulante,24802951.57
BALANCO,2025-11,passivo_circulante,736015.07
BALANCO,2025-11,passivo_nao_circulante,327117.81
BALANCO,2025-11,patrimonio_liquido,23739818.69
DFC,2025-11,caixa_operacional,1806788.15
DFC,2025-11,caixa_investimento,0.0
DFC,2025-11,caixa_financiamento,0.0
DFC,2025-11,variacao_caixa,1806788.15
DFC,2025-11,caixa_final,24802951.57
DRE,2025-12,receita_bruta,3937664.59
DRE,2025-12,receita_liquida,3937664.59
DRE,2025-12,cmv,-2136886.06
DRE,2025-12,lucro_bruto,1800778.53
DRE,2025-12,despesas_operacionais,-68305.61
DRE,2025-12,ebitda,1732472.92
DRE,2025-12,lucro_liquido,1732472.92
BALANCO,2025-12,ativo_circulante,26535424.49
BALANCO,2025-12,passivo_circulante,708779.63
BALANCO,2025-12,passivo_nao_circulante,315013.17
BALANCO,2025-12,patrimonio_liquido,25511631.7
DFC,2025-12,caixa_operacional,1732472.92
DFC,2025-12,caixa_investimento,0.0
DFC,2025-12,caixa_financiamento,0.0
DFC,2025-12,variacao_caixa,1732472.92
DFC,2025-12,caixa_final,26535424.49
DRE,2026-01,receita_bruta,3827759.12
DRE,2026-01,receita_liquida,3827759.12
DRE,2026-01,cmv,-2089858.03
DRE,2026-01,lucro_bruto,1737901.09
DRE,2026-01,despesas_operacionais,-66771.55
DRE,2026-01,ebitda,1671129.54
DRE,2026-01,lucro_liquido,1671129.54
BALANCO,2026-01,ativo_circulante,28206554.03
BALANCO,2026-01,passivo_circulante,688996.64
BALANCO,2026-01,passivo_nao_circulante,306220.73
BALANCO,2026-01,patrimonio_liquido,27211336.66
DFC,2026-01,caixa_operacional,1671129.54
DFC,2026-01,caixa_investimento,-95693.98
DFC,2026-01,caixa_financiamento,57416.39
DFC,2026-01,variacao_caixa,1632851.95
DFC,2026-01,caixa_final,28206554.03
DRE,2026-02,receita_bruta,3485019.68
DRE,2026-02,receita_liquida,3485019.68
DRE,2026-02,cmv,-1902388.19
DRE,2026-02,lucro_bruto,1582631.49
DRE,2026-02,despesas_operacionais,-68408.99
DRE,2026-02,ebitda,1514222.5
DRE,2026-02,lucro_liquido,1514222.5
BALANCO,2026-02,ativo_circulante,29720776.53
BALANCO,2026-02,passivo_circulante,627303.54
BALANCO,2026-02,passivo_nao_circulante,278801.57
BALANCO,2026-02,patrimonio_liquido,28814671.41
DFC,2026-02,caixa_operacional,1514222.5
DFC,2026-02,caixa_investimento,0.0
DFC,2026-02,caixa_financiamento,0.0
DFC,2026-02,variacao_caixa,1514222.5
DFC,2026-02,caixa_final,29720776.53
DRE,2026-03,receita_bruta,4066632.85
DRE,2026-03,receita_liquida,4066632.85
DRE,2026-03,cmv,-2226375.74
DRE,2026-03,lucro_bruto,1840257.11
DRE,2026-03,despesas_operacionais,-68630.44
DRE,2026-03,ebitda,1771626.67
DRE,2026-03,lucro_liquido,1771626.67
BALANCO,2026-03,ativo_circulante,31492403.2
BALANCO,2026-03,passivo_circulante,731993.91
BALANCO,2026-03,passivo_nao_circulante,325330.63
BALANCO,2026-03,patrimonio_liquido,30435078.66
DFC,2026-03,caixa_operacional,1771626.67
DFC,2026-03,caixa_investimento,0.0
DFC,2026-03,caixa_financiamento,0.0
DFC,2026-03,variacao_caixa,1771626.67
DFC,2026-03,caixa_final,31492403.2
DRE,2026-04,receita_bruta,4119074.2
DRE,2026-04,receita_liquida,4119074.2
DRE,2026-04,cmv,-2263084.81
DRE,2026-04,lucro_bruto,1855989.39
DRE,2026-04,despesas_operacionais,-68139.51
DRE,2026-04,ebitda,1787849.88
DRE,2026-04,lucro_liquido,1787849.88
BALANCO,2026-04,ativo_circulante,33280253.08
BALANCO,2026-04,passivo_circulante,741433.36
BALANCO,2026-04,passivo_nao_circulante,329525.94
BALANCO,2026-04,patrimonio_liquido,32209293.79
DFC,2026-04,caixa_operacional,1787849.88
DFC,2026-04,caixa_investimento,-102976.86
DFC,2026-04,caixa_financiamento,0.0
DFC,2026-04,variacao_caixa,1684873.03
DFC,2026-04,caixa_final,33280253.08
DRE,2026-05,receita_bruta,3033061.25
DRE,2026-05,receita_liquida,3033061.25
DRE,2026-05,cmv,-1668783.04
DRE,2026-05,lucro_bruto,1364278.21
DRE,2026-05,despesas_operacionais,-67258.4
DRE,2026-05,ebitda,1297019.81
DRE,2026-05,lucro_liquido,1297019.81
BALANCO,2026-05,ativo_circulante,34577272.89
BALANCO,2026-05,passivo_circulante,545951.03
BALANCO,2026-05,passivo_nao_circulante,242644.9
BALANCO,2026-05,patrimonio_liquido,33788676.96
DFC,2026-05,caixa_operacional,1297019.81
DFC,2026-05,caixa_investimento,0.0
DFC,2026-05,caixa_financiamento,0.0
DFC,2026-05,variacao_caixa,1297019.81
DFC,2026-05,caixa_final,34577272.89
