name,category,standard_cost,sale_price
Item SKU Industrial 46,Plásticos,148.78,245.23
Item SKU Industrial 47,Químicos,139.58,243.82
Item SKU Industrial 48,Embalagens,13.32,24.35
Item SKU Industrial 49,Eletrônicos,65.38,112.31
Item SKU Industrial 50,Embalagens,10.59,18.89
Item SKU Industrial 51,Plásticos,73.82,129.62
Item SKU Industrial 52,Embalagens,59.09,97.38
Item SKU Industrial 53,Metalmecânica,184.6,337.99
Item SKU Industrial 54,Plásticos,34.28,74.83
Item SKU Industrial 55,Eletrônicos,13.85,28.68
Item SKU Industrial 56,Metalmecânica,17.83,33.15
Item SKU Industrial 57,Plásticos,133.87,225.01
Item SKU Industrial 58,Eletrônicos,87.82,154.44
Item SKU Industrial 59,Metalmecânica,15.08,25.99
Item SKU Industrial 60,Metalmecânica,12.65,23.18
Item SKU Industrial 61,Plásticos,109.52,191.08
Item SKU Industrial 62,Químicos,11.0,21.33
Item SKU Industrial 63,Metalmecânica,146.23,268.78
Item SKU Industrial 64,Metalmecânica,116.03,193.75
Item SKU Industrial 65,Eletrônicos,14.19,22.73
Item SKU Industrial 66,Embalagens,12.51,23.3
Item SKU Industrial 67,Plásticos,301.53,657.32
Item SKU Industrial 68,Plásticos,38.75,80.33
Item SKU Industrial 69,Químicos,36.09,79.46
Item SKU Industrial 70,Químicos,151.75,261.34
Item SKU Industrial 71,Plásticos,233.09,451.32
Item SKU Industrial 72,Químicos,363.2,650.32
Item SKU Industrial 73,Eletrônicos,120.69,219.98
Item SKU Industrial 74,Plásticos,37.68,80.8
Item SKU Industrial 75,Químicos,12.25,23.08
Item SKU Industrial 76,Plásticos,116.21,235.19
Item SKU Industrial 77,Embalagens,70.77,132.6
Item SKU Industrial 78,Metalmecânica,45.54,92.8
Item SKU Industrial 79,Plásticos,225.75,365.24
Item SKU Industrial 80,Metalmecânica,13.42,27.68
Item SKU Industrial 81,Químicos,71.78,111.78
Item SKU Industrial 82,Metalmecânica,6.24,11.71
Item SKU Industrial 83,Plásticos,64.93,104.85
Item SKU Industrial 84,Embalagens,10.76,18.69
Item SKU Industrial 85,Químicos,17.3,28.97
Item SKU Industrial 86,Plásticos,17.35,28.75
Item SKU Industrial 87,Químicos,92.09,167.14
Item SKU Industrial 88,Eletrônicos,120.44,215.59
Item SKU Industrial 89,Metalmecânica,78.13,141.33
Item SKU Industrial 90,Eletrônicos,284.49,501.21
Item SKU Industrial 91,Plásticos,36.68,80.47
Item SKU Industrial 92,Embalagens,31.99,60.47
Item SKU Industrial 93,Químicos,179.61,314.43
Item SKU Industrial 94,Metalmecânica,27.32,47.96
Item SKU Industrial 95,Químicos,307.6,505.43
Item SKU Industrial 96,Plásticos,6.87,11.83
Item SKU Industrial 97,Químicos,347.15,535.38
Item SKU Industrial 98,Metalmecânica,8.42,16.62
Item SKU Industrial 99,Plásticos,178.81,342.66
Item SKU Industrial 100,Químicos,64.54,122.52
Item SKU Industrial 101,Embalagens,409.28,753.52
Item SKU Industrial 102,Plásticos,13.27,21.5
Item SKU Industrial 103,Plásticos,65.16,131.07
Item SKU Industrial 104,Embalagens,322.29,532.54
Item SKU Industrial 105,Eletrônicos,64.3,121.07
Item SKU Industrial 106,Metalmecânica,90.63,158.89
Item SKU Industrial 107,Eletrônicos,108.67,188.49
Item SKU Industrial 108,Químicos,52.94,100.92
Item SKU Industrial 109,Embalagens,87.38,158.15
Item SKU Industrial 110,Eletrônicos,75.45,141.67
Item SKU Industrial 111,Plásticos,165.65,357.13
Item SKU Industrial 112,Químicos,9.13,16.98
Item SKU Industrial 113,Químicos,27.92,59.48
Item SKU Industrial 114,Eletrônicos,244.58,460.6
Item SKU Industrial 115,Eletrônicos,194.14,341.45
Item SKU Industrial 116,Embalagens,57.28,101.23
Item SKU Industrial 117,Metalmecânica,90.4,155.19
Item SKU Industrial 118,Eletrônicos,27.55,58.73
Item SKU Industrial 119,Eletrônicos,23.95,41.26
Item SKU Industrial 120,Plásticos,53.02,103.46
Item SKU Industrial 121,Químicos,39.94,75.39
Item SKU Industrial 122,Metalmecânica,87.92,141.44
Item SKU Industrial 123,Plásticos,10.0,22.14
Item SKU Industrial 124,Embalagens,317.75,559.74
Item SKU Industrial 125,Embalagens,371.8,652.58
Item SKU Industrial 126,Eletrônicos,100.4,189.68
Item SKU Industrial 127,Eletrônicos,62.28,125.21
Item SKU Industrial 128,Embalagens,32.58,65.56
Item SKU Industrial 129,Eletrônicos,164.29,262.14
Item SKU Industrial 130,Metalmecânica,98.61,183.15
Item SKU Industrial 131,Eletrônicos,18.9,36.62
Item SKU Industrial 132,Químicos,201.19,372.75
Item SKU Industrial 133,Eletrônicos,157.27,269.35
Item SKU Industrial 134,Plásticos,219.82,458.76
Item SKU Industrial 135,Metalmecânica,110.16,204.04
Item SKU Industrial 136,Plásticos,86.59,152.56
Item SKU Industrial 137,Plásticos,58.38,91.26
Item SKU Industrial 138,Químicos,207.63,414.85
Item SKU Industrial 139,Metalmecânica,162.59,311.56
Item SKU Industrial 140,Metalmecânica,8.91,16.94
Item SKU Industrial 141,Metalmecânica,8.0,14.01
Item SKU Industrial 142,Metalmecânica,42.15,80.85
Item SKU Industrial 143,Metalmecânica,144.49,259.55
Item SKU Industrial 144,Químicos,403.01,664.64
Item SKU Industrial 145,Eletrônicos,20.36,34.45
Item SKU Industrial 146,Plásticos,78.33,145.26
Item SKU Industrial 147,Metalmecânica,51.02,81.92
Item SKU Industrial 148,Eletrônicos,300.79,535.56
Item SKU Industrial 149,Eletrônicos,160.08,286.89
Item SKU Industrial 150,Plásticos,129.44,283.33
Item SKU Industrial 151,Químicos,67.88,104.86
Item SKU Industrial 152,Embalagens,42.89,90.38
Item SKU Industrial 153,Embalagens,28.74,57.91
Item SKU Industrial 154,Eletrônicos,8.61,18.7
Item SKU Industrial 155,Plásticos,179.21,310.06
Item SKU Industrial 156,Embalagens,129.39,261.42
Item SKU Industrial 157,Eletrônicos,600.64,1235.87
Item SKU Industrial 158,Químicos,404.21,864.23
Item SKU Industrial 159,Embalagens,61.94,131.6
Item SKU Industrial 160,Eletrônicos,130.28,229.79
Item SKU Industrial 161,Eletrônicos,261.17,444.43
Item SKU Industrial 162,Metalmecânica,155.78,294.22
Item SKU Industrial 163,Químicos,28.73,52.62
Item SKU Industrial 164,Metalmecânica,58.61,99.82
Item SKU Industrial 165,Plásticos,13.94,30.74
Item SKU Industrial 166,Metalmecânica,242.92,472.03
Item SKU Industrial 167,Metalmecânica,96.55,149.78
Item SKU Industrial 168,Embalagens,27.7,48.94
Item SKU Industrial 169,Eletrônicos,88.68,177.07
Item SKU Industrial 170,Químicos,85.59,154.4
Item SKU Industrial 171,Metalmecânica,39.67,76.51
Item SKU Industrial 172,Químicos,15.63,28.08
Item SKU Industrial 173,Metalmecânica,84.11,177.02
Item SKU Industrial 174,Plásticos,57.28,120.19
Item SKU Industrial 175,Metalmecânica,111.05,231.97
Item SKU Industrial 176,Embalagens,76.65,120.15
Item SKU Industrial 177,Eletrônicos,177.05,296.77
Item SKU Industrial 178,Plásticos,62.92,130.41
Item SKU Industrial 179,Metalmecânica,65.09,133.47
Item SKU Industrial 180,Químicos,193.1,323.91
Item SKU Industrial 181,Plásticos,42.11,87.5
Item SKU Industrial 182,Plásticos,15.69,31.58
Item SKU Industrial 183,Metalmecânica,9.24,14.38
Item SKU Industrial 184,Plásticos,110.76,221.06
Item SKU Industrial 185,Químicos,90.41,155.26
Item SKU Industrial 186,Plásticos,124.4,192.65
Item SKU Industrial 187,Químicos,24.1,45.92
Item SKU Industrial 188,Metalmecânica,14.51,31.99
Item SKU Industrial 189,Eletrônicos,6.09,12.2
Item SKU Industrial 190,Plásticos,46.06,74.75
Item SKU Industrial 191,Eletrônicos,89.52,143.71
Item SKU Industrial 192,Químicos,51.13,84.7
Item SKU Industrial 193,Plásticos,45.51,96.3
Item SKU Industrial 194,Embalagens,220.35,361.76
Item SKU Industrial 195,Eletrônicos,47.04,74.22
Item SKU Industrial 196,Plásticos,67.41,118.23
Item SKU Industrial 197,Eletrônicos,152.93,239.63
Item SKU Industrial 198,Plásticos,52.77,85.76
Item SKU Industrial 199,Metalmecânica,90.99,155.96
Item SKU Industrial 200,Eletrônicos,173.85,307.47
Item SKU Industrial 201,Embalagens,237.99,457.93
Item SKU Industrial 202,Embalagens,16.32,33.86
Item SKU Industrial 203,Químicos,229.4,401.75
Item SKU Industrial 204,Plásticos,57.34,111.63
Item SKU Industrial 205,Eletrônicos,34.16,54.81
Item SKU Industrial 206,Químicos,66.29,102.19
Item SKU Industrial 207,Eletrônicos,358.52,597.05
Item SKU Industrial 208,Plásticos,52.32,111.77
Item SKU Industrial 209,Embalagens,35.43,69.79
Item SKU Industrial 210,Metalmecânica,75.74,160.52
Item SKU Industrial 211,Embalagens,29.7,51.19
Item SKU Industrial 212,Químicos,13.16,21.83
Item SKU Industrial 213,Metalmecânica,19.5,30.7
Item SKU Industrial 214,Químicos,16.42,30.55
Item SKU Industrial 215,Plásticos,21.88,34.71
Item SKU Industrial 216,Metalmecânica,20.28,32.42
Item SKU Industrial 217,Químicos,84.0,163.61
Item SKU Industrial 218,Plásticos,25.02,40.11
Item SKU Industrial 219,Embalagens,38.66,73.62
Item SKU Industrial 220,Plásticos,178.61,350.65
Item SKU Industrial 221,Eletrônicos,61.67,106.36
Item SKU Industrial 222,Plásticos,90.34,175.19
Item SKU Industrial 223,Plásticos,22.1,38.37
Item SKU Industrial 224,Eletrônicos,24.04,42.03
Item SKU Industrial 225,Químicos,9.15,16.26
Item SKU Industrial 226,Químicos,19.86,37.76
Item SKU Industrial 227,Plásticos,33.01,58.98
Item SKU Industrial 228,Eletrônicos,22.33,39.22
Item SKU Industrial 229,Eletrônicos,13.38,23.93
Item SKU Industrial 230,Embalagens,15.78,29.28
Item SKU Industrial 231,Químicos,46.49,102.64
Item SKU Industrial 232,Metalmecânica,25.34,44.66
Item SKU Industrial 233,Químicos,37.7,77.95
Item SKU Industrial 234,Químicos,66.53,115.0
Item SKU Industrial 235,Embalagens,111.87,185.87
Item SKU Industrial 236,Metalmecânica,8.81,16.02
Item SKU Industrial 237,Embalagens,140.16,250.97
Item SKU Industrial 238,Metalmecânica,101.35,158.29
Item SKU Industrial 239,Plásticos,14.12,22.79
Item SKU Industrial 240,Metalmecânica,202.65,320.22
Item SKU Industrial 241,Embalagens,239.28,390.5
Item SKU Industrial 242,Químicos,9.18,19.45
Item SKU Industrial 243,Metalmecânica,28.13,58.63
Item SKU Industrial 244,Metalmecânica,142.24,256.14
Item SKU Industrial 245,Eletrônicos,108.28,216.9
Item SKU Industrial 246,Químicos,22.14,40.6
Item SKU Industrial 247,Plásticos,23.92,45.23
Item SKU Industrial 248,Embalagens,44.47,79.42
Item SKU Industrial 249,Plásticos,65.57,109.4
Item SKU Industrial 250,Químicos,91.6,154.45
Item SKU Industrial 251,Metalmecânica,43.81,79.05
Item SKU Industrial 252,Metalmecânica,63.37,103.13
Item SKU Industrial 253,Químicos,116.04,216.43
Item SKU Industrial 254,Metalmecânica,9.82,15.61
Item SKU Industrial 255,Metalmecânica,24.9,53.64
Item SKU Industrial 256,Metalmecânica,126.53,197.42
Item SKU Industrial 257,Embalagens,202.38,348.37
Item SKU Industrial 258,Embalagens,61.82,117.52
Item SKU Industrial 259,Eletrônicos,60.66,123.93
Item SKU Industrial 260,Plásticos,14.74,27.0
Item SKU Industrial 261,Químicos,48.39,98.97
Item SKU Industrial 262,Químicos,59.97,124.09
Item SKU Industrial 263,Químicos,29.62,51.65
Item SKU Industrial 264,Eletrônicos,31.64,57.05
Item SKU Industrial 265,Embalagens,47.33,81.05
Item SKU Industrial 266,Eletrônicos,8.29,13.04
Item SKU Industrial 267,Químicos,38.01,68.31
Item SKU Industrial 268,Plásticos,25.84,45.63
Item SKU Industrial 269,Metalmecânica,32.53,69.51
Item SKU Industrial 270,Embalagens,17.29,29.13
Item SKU Industrial 271,Embalagens,181.15,341.81
Item SKU Industrial 272,Eletrônicos,93.61,145.06
Item SKU Industrial 273,Embalagens,110.94,180.49
Item SKU Industrial 274,Químicos,135.03,243.51
Item SKU Industrial 275,Químicos,53.88,113.51
Item SKU Industrial 276,Eletrônicos,14.7,23.64
Item SKU Industrial 277,Químicos,76.57,125.54
Item SKU Industrial 278,Plásticos,69.43,142.59
Item SKU Industrial 279,Eletrônicos,109.56,215.23
Item SKU Industrial 280,Plásticos,57.68,94.76
Item SKU Industrial 281,Metalmecânica,14.84,30.47
Item SKU Industrial 282,Plásticos,38.05,60.06
Item SKU Industrial 283,Metalmecânica,41.55,77.67
Item SKU Industrial 284,Metalmecânica,77.46,165.73
Item SKU Industrial 285,Plásticos,83.92,136.87
Item SKU Industrial 286,Eletrônicos,39.89,76.03
Item SKU Industrial 287,Químicos,364.24,655.93
Item SKU Industrial 288,Químicos,70.69,149.62
Item SKU Industrial 289,Metalmecânica,22.81,50.62
Item SKU Industrial 290,Metalmecânica,15.08,26.1
Item SKU Industrial 291,Eletrônicos,19.29,34.88
Item SKU Industrial 292,Embalagens,29.77,52.35
Item SKU Industrial 293,Plásticos,22.08,36.27
Item SKU Industrial 294,Metalmecânica,23.73,40.97
Item SKU Industrial 295,Químicos,29.26,60.34
Item SKU Industrial 296,Eletrônicos,20.13,38.56
Item SKU Industrial 297,Plásticos,221.3,350.61
Item SKU Industrial 298,Eletrônicos,13.62,22.55
Item SKU Industrial 299,Plásticos,68.21,121.51
Item SKU Industrial 300,Plásticos,44.73,89.25
Item SKU Industrial 301,Metalmecânica,314.31,615.8
Item SKU Industrial 302,Eletrônicos,16.59,27.82
Item SKU Industrial 303,Eletrônicos,53.4,86.09
Item SKU Industrial 304,Químicos,311.63,533.36
Item SKU Industrial 305,Químicos,190.27,310.94
Item SKU Industrial 306,Metalmecânica,159.76,264.8
Item SKU Industrial 307,Metalmecânica,26.27,54.74
Item SKU Industrial 308,Embalagens,20.38,38.11
Item SKU Industrial 309,Químicos,84.43,175.68
Item SKU Industrial 310,Plásticos,202.58,407.56
Item SKU Industrial 311,Eletrônicos,82.38,132.05
Item SKU Industrial 312,Metalmecânica,74.69,137.16
Item SKU Industrial 313,Eletrônicos,33.02,59.27
Item SKU Industrial 314,Eletrônicos,111.77,230.12
Item SKU Industrial 315,Embalagens,21.04,41.06
Item SKU Industrial 316,Químicos,34.06,68.66
Item SKU Industrial 317,Metalmecânica,45.74,93.12
Item SKU Industrial 318,Eletrônicos,67.16,116.27
Item SKU Industrial 319,Metalmecânica,25.89,51.64
Item SKU Industrial 320,Plásticos,16.31,28.3
Item SKU Industrial 321,Embalagens,69.94,151.48
Item SKU Industrial 322,Plásticos,29.22,61.08
Item SKU Industrial 323,Metalmecânica,70.97,140.57
Item SKU Industrial 324,Metalmecânica,20.01,35.15
Item SKU Industrial 325,Químicos,63.44,108.42
Item SKU Industrial 326,Eletrônicos,66.82,124.08
Item SKU Industrial 327,Eletrônicos,9.69,17.98
Item SKU Industrial 328,Plásticos,42.57,71.56
Item SKU Industrial 329,Embalagens,14.34,31.65
Item SKU Industrial 330,Eletrônicos,10.27,19.82
Item SKU Industrial 331,Químicos,429.73,700.18
Item SKU Industrial 332,Plásticos,39.01,68.37
Item SKU Industrial 333,Plásticos,134.02,259.01
Item SKU Industrial 334,Químicos,34.13,54.08
Item SKU Industrial 335,Embalagens,109.79,181.62
Item SKU Industrial 336,Químicos,112.77,224.21
Item SKU Industrial 337,Embalagens,84.44,145.82
Item SKU Industrial 338,Químicos,60.15,105.68
Item SKU Industrial 339,Químicos,47.51,89.61
Item SKU Industrial 340,Metalmecânica,38.92,74.36
Item SKU Industrial 341,Plásticos,211.57,407.88
Item SKU Industrial 342,Químicos,158.46,276.34
Item SKU Industrial 343,Químicos,276.23,512.98
Item SKU Industrial 344,Eletrônicos,18.44,29.91
Item SKU Industrial 345,Plásticos,120.8,206.88
Item SKU Industrial 346,Eletrônicos,198.55,427.92
Item SKU Industrial 347,Plásticos,23.12,39.99
Item SKU Industrial 348,Eletrônicos,10.25,20.32
Item SKU Industrial 349,Químicos,120.94,212.71
Item SKU Industrial 350,Químicos,80.97,138.16
Item SKU Industrial 351,Metalmecânica,142.21,286.61
Item SKU Industrial 352,Eletrônicos,17.64,32.58
Item SKU Industrial 353,Embalagens,121.0,247.91
Item SKU Industrial 354,Metalmecânica,20.16,43.78
Item SKU Industrial 355,Eletrônicos,19.35,36.81
Item SKU Industrial 356,Eletrônicos,19.29,36.92
Item SKU Industrial 357,Metalmecânica,170.56,262.77
Item SKU Industrial 358,Químicos,93.9,174.13
Item SKU Industrial 359,Eletrônicos,62.55,121.06
Item SKU Industrial 360,Químicos,43.4,76.67
Item SKU Industrial 361,Metalmecânica,151.82,324.58
Item SKU Industrial 362,Químicos,54.44,84.75
Item SKU Industrial 363,Plásticos,152.56,264.41
Item SKU Industrial 364,Embalagens,58.14,96.74
Item SKU Industrial 365,Eletrônicos,39.2,80.97
Item SKU Industrial 366,Embalagens,54.88,103.17
Item SKU Industrial 367,Químicos,34.1,63.8
Item SKU Industrial 368,Eletrônicos,133.02,216.52
Item SKU Industrial 369,Químicos,51.68,114.79
Item SKU Industrial 370,Plásticos,25.32,49.64
Item SKU Industrial 371,Metalmecânica,229.26,354.75
Item SKU Industrial 372,Eletrônicos,45.04,82.65
Item SKU Industrial 373,Plásticos,67.2,127.64
Item SKU Industrial 374,Plásticos,173.2,365.42
Item SKU Industrial 375,Eletrônicos,101.12,156.82
Item SKU Industrial 376,Químicos,13.01,28.65
Item SKU Industrial 377,Plásticos,257.85,431.59
Item SKU Industrial 378,Embalagens,95.51,158.21
Item SKU Industrial 379,Plásticos,35.49,71.17
Item SKU Industrial 380,Químicos,18.99,32.5
Item SKU Industrial 381,Químicos,115.74,247.0
Item SKU Industrial 382,Embalagens,77.8,155.17
Item SKU Industrial 383,Plásticos,75.56,124.36
Item SKU Industrial 384,Químicos,215.85,346.5
Item SKU Industrial 385,Eletrônicos,138.98,243.1
Item SKU Industrial 386,Metalmecânica,19.12,34.67
Item SKU Industrial 387,Metalmecânica,31.82,66.03
Item SKU Industrial 388,Metalmecânica,24.45,52.85
Item SKU Industrial 389,Plásticos,101.51,214.36
Item SKU Industrial 390,Embalagens,7.49,15.12
Item SKU Industrial 391,Químicos,70.78,136.56
Item SKU Industrial 392,Eletrônicos,118.71,225.61
Item SKU Industrial 393,Eletrônicos,168.27,324.05
Item SKU Industrial 394,Plásticos,36.24,72.8
Item SKU Industrial 395,Metalmecânica,148.07,268.27
Item SKU Industrial 396,Plásticos,16.97,27.59
Item SKU Industrial 397,Embalagens,147.26,291.06
Item SKU Industrial 398,Embalagens,19.45,30.46
Item SKU Industrial 399,Químicos,53.69,85.95
Item SKU Industrial 400,Químicos,120.3,249.4
Item SKU Industrial 401,Embalagens,20.87,34.36
Item SKU Industrial 402,Embalagens,27.71,49.06
Item SKU Industrial 403,Embalagens,113.88,202.16
Item SKU Industrial 404,Plásticos,106.15,200.96
Item SKU Industrial 405,Embalagens,90.09,163.73
Item SKU Industrial 406,Eletrônicos,99.32,187.6
Item SKU Industrial 407,Metalmecânica,71.07,127.37
Item SKU Industrial 408,Embalagens,30.8,53.51
Item SKU Industrial 409,Metalmecânica,43.06,73.63
Item SKU Industrial 410,Plásticos,22.29,40.06
Item SKU Industrial 411,Metalmecânica,219.07,368.63
Item SKU Industrial 412,Plásticos,67.6,141.34
Item SKU Industrial 413,Eletrônicos,42.76,86.84
Item SKU Industrial 414,Plásticos,63.21,102.99
Item SKU Industrial 415,Plásticos,232.26,451.42
Item SKU Industrial 416,Químicos,15.9,34.97
Item SKU Industrial 417,Embalagens,68.45,142.37
Item SKU Industrial 418,Embalagens,57.26,115.75
Item SKU Industrial 419,Eletrônicos,97.37,151.8
Item SKU Industrial 420,Eletrônicos,7.19,12.74
Item SKU Industrial 421,Embalagens,202.74,318.5
Item SKU Industrial 422,Químicos,233.64,413.5
Item SKU Industrial 423,Embalagens,73.64,134.91
Item SKU Industrial 424,Químicos,96.87,188.93
Item SKU Industrial 425,Eletrônicos,224.86,393.62
Item SKU Industrial 426,Metalmecânica,92.83,194.26
Item SKU Industrial 427,Eletrônicos,21.93,34.83
Item SKU Industrial 428,Eletrônicos,85.49,138.81
Item SKU Industrial 429,Plásticos,77.02,149.98
Item SKU Industrial 430,Plásticos,59.43,92.78
Item SKU Industrial 431,Plásticos,129.17,210.02
Item SKU Industrial 432,Plásticos,244.12,418.55
Item SKU Industrial 433,Químicos,189.59,399.68
Item SKU Industrial 434,Embalagens,54.51,99.9
Item SKU Industrial 435,Metalmecânica,15.45,28.03
Item SKU Industrial 436,Eletrônicos,316.96,638.38
Item SKU Industrial 437,Químicos,132.28,283.86
Item SKU Industrial 438,Metalmecânica,18.14,29.97
Item SKU Industrial 439,Químicos,185.23,390.45
Item SKU Industrial 440,Químicos,179.71,315.91
Item SKU Industrial 441,Eletrônicos,76.3,119.73
Item SKU Industrial 442,Embalagens,90.16,144.21
Item SKU Industrial 443,Plásticos,43.66,86.37
Item SKU Industrial 444,Embalagens,11.44,18.45
Item SKU Industrial 445,Eletrônicos,32.06,71.24
Item SKU Industrial 446,Eletrônicos,115.0,253.57
Item SKU Industrial 447,Eletrônicos,6.1,10.7
Item SKU Industrial 448,Metalmecânica,37.06,70.86
Item SKU Industrial 449,Embalagens,45.44,86.17
Item SKU Industrial 450,Embalagens,70.72,125.63
Item SKU Industrial 451,Químicos,189.77,388.59
Item SKU Industrial 452,Químicos,36.33,73.78
Item SKU Industrial 453,Químicos,40.43,73.92
Item SKU Industrial 454,Eletrônicos,126.56,210.63
Item SKU Industrial 455,Embalagens,57.55,100.28
Item SKU Industrial 456,Eletrônicos,24.54,48.16
Item SKU Industrial 457,Metalmecânica,53.79,100.34
Item SKU Industrial 458,Químicos,15.87,32.77
Item SKU Industrial 459,Eletrônicos,18.18,39.11
Item SKU Industrial 460,Eletrônicos,68.83,113.48
Item SKU Industrial 461,Metalmecânica,46.0,91.43
Item SKU Industrial 462,Plásticos,184.26,379.49
Item SKU Industrial 463,Embalagens,45.6,77.51
Item SKU Industrial 464,Plásticos,80.5,140.34
Item SKU Industrial 465,Químicos,92.3,160.06
Item SKU Industrial 466,Eletrônicos,5.94,11.98
Item SKU Industrial 467,Metalmecânica,86.09,173.39
Item SKU Industrial 468,Metalmecânica,19.47,39.41
Item SKU Industrial 469,Embalagens,240.87,496.9
Item SKU Industrial 470,Plásticos,19.84,34.14
Item SKU Industrial 471,Embalagens,55.97,90.33
Item SKU Industrial 472,Eletrônicos,13.91,23.38
Item SKU Industrial 473,Embalagens,532.49,875.21
Item SKU Industrial 474,Metalmecânica,60.86,114.63
Item SKU Industrial 475,Metalmecânica,84.64,145.72
Item SKU Industrial 476,Químicos,10.63,20.41
Item SKU Industrial 477,Químicos,120.97,217.92
Item SKU Industrial 478,Eletrônicos,24.77,45.34
Item SKU Industrial 479,Plásticos,171.1,352.5
Item SKU Industrial 480,Embalagens,23.44,44.44
Item SKU Industrial 481,Eletrônicos,26.83,41.74
Item SKU Industrial 482,Químicos,7.79,15.59
Item SKU Industrial 483,Embalagens,50.45,105.82
Item SKU Industrial 484,Químicos,71.95,134.81
Item SKU Industrial 485,Embalagens,12.28,20.2
Item SKU Industrial 486,Plásticos,132.6,234.1
Item SKU Industrial 487,Eletrônicos,58.96,100.58
Item SKU Industrial 488,Embalagens,59.27,121.47
Item SKU Industrial 489,Metalmecânica,55.76,97.18
Item SKU Industrial 490,Metalmecânica,44.68,86.81
Item SKU Industrial 491,Embalagens,82.05,133.02
Item SKU Industrial 492,Embalagens,20.33,35.31
Item SKU Industrial 493,Embalagens,19.65,40.12
Item SKU Industrial 494,Metalmecânica,142.04,306.84
Item SKU Industrial 495,Metalmecânica,205.48,448.14
Item SKU Industrial 496,Embalagens,41.99,80.1
Item SKU Industrial 497,Químicos,28.86,57.36
Item SKU Industrial 498,Químicos,95.52,164.92
Item SKU Industrial 499,Plásticos,48.84,88.82
Item SKU Industrial 500,Eletrônicos,6.97,13.86
