product_name,planned_qty,actual_qty,planned_cost,actual_cost,planned_date,actual_date,status
Item SKU Industrial 274,28,28,3780.84,3780.84,2024-11-17,2024-11-17,completed
Item SKU Industrial 255,45,45,1120.5,1120.5,2026-03-16,2026-03-16,completed
Item SKU Industrial 164,28,28,1641.08,1887.24,2025-01-09,2025-01-09,completed
Item SKU Industrial 458,49,49,777.63,777.63,2025-05-09,2025-05-09,completed
Item SKU Industrial 291,42,42,810.18,810.18,2025-08-08,2025-08-10,completed_late
Item SKU Industrial 35,16,16,227.68,227.68,2025-06-05,2025-06-05,completed
Item SKU Industrial 337,12,12,1013.28,1013.28,2025-03-24,2025-03-24,completed
Item SKU Industrial 23,34,34,1485.12,1485.12,2025-11-06,2025-11-06,completed
Item SKU Industrial 395,37,37,5478.59,5478.59,2024-05-30,2024-05-30,completed
Item SKU Industrial 367,35,35,1193.5,1193.5,2025-11-14,2025-11-14,completed
Item SKU Industrial 2,31,31,4307.45,4307.45,2024-02-16,2024-02-16,completed
Item SKU Industrial 434,34,34,1853.34,1853.34,2025-01-17,2025-01-19,completed_late
Item SKU Industrial 83,53,53,3441.29,3441.29,2025-11-29,2025-11-29,completed
Item SKU Industrial 10,6,6,804.12,924.74,2026-03-22,2026-03-22,completed
Item SKU Industrial 22,11,11,2128.94,2128.94,2024-07-23,2024-07-23,completed
Item SKU Industrial 311,52,52,4283.76,4283.76,2025-02-14,2025-02-14,completed
Item SKU Industrial 373,2,2,134.4,134.4,2025-08-21,2025-08-21,completed
Item SKU Industrial 426,24,24,2227.92,2227.92,2024-06-16,2024-06-16,completed
Item SKU Industrial 282,24,24,913.2,913.2,2026-05-19,2026-05-27,completed_late
Item SKU Industrial 219,24,24,927.84,927.84,2025-06-15,2025-06-15,completed
Item SKU Industrial 150,42,42,5436.48,5436.48,2025-09-04,2025-09-04,completed
Item SKU Industrial 86,11,11,190.85,190.85,2026-03-16,2026-03-16,completed
Item SKU Industrial 13,28,28,659.96,659.96,2025-06-28,2025-06-28,completed
Item SKU Industrial 296,4,4,80.52,80.52,2024-11-30,2024-11-30,completed
Item SKU Industrial 275,50,50,2694.0,3098.1,2024-12-09,2024-12-09,completed
Item SKU Industrial 339,2,2,95.02,95.02,2024-03-18,2024-03-20,completed_late
Item SKU Industrial 418,4,4,229.04,229.04,2025-04-26,2025-04-26,completed
Item SKU Industrial 1,48,48,2099.52,2099.52,2026-02-01,2026-02-01,completed
Item SKU Industrial 268,36,36,930.24,930.24,2024-03-28,2024-03-28,completed
Item SKU Industrial 332,46,46,1794.46,1794.46,2025-07-10,2025-07-10,completed
Item SKU Industrial 457,37,37,1990.23,1990.23,2026-04-20,2026-04-20,completed
Item SKU Industrial 107,12,12,1304.04,1304.04,2025-05-19,2025-05-19,completed
Item SKU Industrial 232,45,45,1140.3,1140.3,2025-02-24,2025-02-26,completed_late
Item SKU Industrial 293,5,5,110.4,110.4,2024-05-09,2024-05-09,completed
Item SKU Industrial 256,41,41,5187.73,5187.73,2025-08-14,2025-08-14,completed
Item SKU Industrial 173,9,9,756.99,870.54,2026-03-09,2026-03-09,completed
Item SKU Industrial 203,53,53,12158.2,12158.2,2024-05-10,2024-05-10,completed
Item SKU Industrial 384,27,27,5827.95,5827.95,2025-04-18,2025-04-18,completed
Item SKU Industrial 46,11,11,1636.58,1636.58,2026-01-19,2026-01-19,completed
Item SKU Industrial 16,19,19,7595.25,7595.25,2026-04-20,2026-04-22,completed_late
Item SKU Industrial 59,23,23,346.84,346.84,2024-08-31,2024-08-31,completed
Item SKU Industrial 361,2,2,303.64,303.64,2024-12-02,2024-12-02,completed
Item SKU Industrial 129,53,53,8707.37,8707.37,2024-12-14,2024-12-14,completed
Item SKU Industrial 214,29,29,476.18,476.18,2026-04-03,2026-04-03,completed
Item SKU Industrial 219,46,46,1778.36,1778.36,2025-09-13,2025-09-13,completed
Item SKU Industrial 194,24,24,5288.4,5288.4,2025-06-16,2025-06-16,completed
Item SKU Industrial 14,42,42,4393.62,5052.66,2026-01-02,2026-01-04,completed_late
Item SKU Industrial 144,23,23,9269.23,9269.23,2024-03-29,2024-04-06,completed_late
Item SKU Industrial 359,41,41,2564.55,2564.55,2026-04-19,2026-04-19,completed
Item SKU Industrial 24,7,7,851.55,851.55,2026-03-01,2026-03-01,completed
Item SKU Industrial 476,46,46,488.98,488.98,2025-11-04,2025-11-04,completed
Item SKU Industrial 320,47,47,766.57,766.57,2024-02-23,2024-02-23,completed
Item SKU Industrial 395,41,41,6070.87,6070.87,2026-02-15,2026-02-15,completed
Item SKU Industrial 467,28,28,2410.52,2410.52,2026-02-25,2026-02-27,completed_late
Item SKU Industrial 291,15,15,289.35,289.35,2024-11-16,2024-11-16,completed
Item SKU Industrial 163,24,24,689.52,689.52,2024-02-27,2024-02-27,completed
Item SKU Industrial 493,26,26,510.9,510.9,2025-08-26,2025-08-26,completed
Item SKU Industrial 280,39,39,2249.52,2586.95,2025-12-27,2025-12-27,completed
Item SKU Industrial 74,41,41,1544.88,1544.88,2026-05-14,2026-05-14,completed
Item SKU Industrial 309,12,12,1013.16,1013.16,2026-05-24,2026-05-24,completed
Item SKU Industrial 430,4,4,237.72,237.72,2024-02-24,2024-02-26,completed_late
Item SKU Industrial 431,51,51,6587.67,6587.67,2025-01-24,2025-01-24,completed
Item SKU Industrial 413,28,28,1197.28,1197.28,2024-12-20,2024-12-20,completed
Item SKU Industrial 383,15,15,1133.4,1133.4,2024-09-19,2024-09-19,completed
Item SKU Industrial 29,16,16,2244.48,2244.48,2026-05-05,2026-05-05,completed
Item SKU Industrial 477,38,38,4596.86,4596.86,2025-06-07,2025-06-07,completed
Item SKU Industrial 482,44,44,342.76,342.76,2024-11-04,2024-11-04,completed
Item SKU Industrial 51,2,2,147.64,147.64,2025-08-13,2025-08-15,completed_late
Item SKU Industrial 252,17,17,1077.29,1238.88,2026-05-01,2026-05-01,completed
Item SKU Industrial 385,19,19,2640.62,2640.62,2026-03-21,2026-03-21,completed
Item SKU Industrial 247,11,11,263.12,263.12,2026-03-13,2026-03-13,completed
Item SKU Industrial 66,2,2,25.02,25.02,2025-11-17,2025-11-17,completed
Item SKU Industrial 139,23,23,3739.57,3739.57,2025-12-30,2025-12-30,completed
Item SKU Industrial 167,46,46,4441.3,4441.3,2024-10-24,2024-10-24,completed
Item SKU Industrial 264,33,33,1044.12,1044.12,2025-09-06,2025-09-08,completed_late
Item SKU Industrial 327,44,44,426.36,426.36,2025-09-15,2025-09-15,completed
Item SKU Industrial 140,13,13,115.83,115.83,2026-05-23,2026-05-31,completed_late
Item SKU Industrial 196,45,45,3033.45,3033.45,2024-01-18,2024-01-18,completed
Item SKU Industrial 485,39,39,478.92,478.92,2024-12-01,2024-12-01,completed
Item SKU Industrial 131,4,4,75.6,86.94,2025-01-04,2025-01-04,completed
Item SKU Industrial 298,40,40,544.8,544.8,2026-02-19,2026-02-19,completed
Item SKU Industrial 276,2,2,29.4,29.4,2025-08-01,2025-08-03,completed_late
Item SKU Industrial 408,30,30,924.0,924.0,2025-12-27,2025-12-27,completed
Item SKU Industrial 101,28,28,11459.84,11459.84,2024-07-27,2024-07-27,completed
Item SKU Industrial 343,2,2,552.46,552.46,2024-01-25,2024-01-25,completed
Item SKU Industrial 126,49,49,4919.6,4919.6,2025-10-12,2025-10-12,completed
Item SKU Industrial 123,2,2,20.0,20.0,2025-09-14,2025-09-14,completed
Item SKU Industrial 36,1,1,43.35,43.35,2024-04-07,2024-04-07,completed
Item SKU Industrial 69,28,28,1010.52,1010.52,2026-03-12,2026-03-14,completed_late
Item SKU Industrial 434,4,4,218.04,218.04,2024-01-27,2024-01-27,completed
Item SKU Industrial 471,22,22,1231.34,1416.04,2025-10-12,2025-10-12,completed
Item SKU Industrial 374,48,48,8313.6,8313.6,2026-01-12,2026-01-12,completed
Item SKU Industrial 158,30,30,12126.3,12126.3,2025-06-30,2025-06-30,completed
Item SKU Industrial 352,53,53,934.92,934.92,2025-06-02,2025-06-02,completed
Item SKU Industrial 40,45,45,4124.7,4124.7,2026-03-09,2026-03-09,completed
Item SKU Industrial 32,34,34,1680.28,1680.28,2025-11-22,2025-11-24,completed_late
Item SKU Industrial 257,22,22,4452.36,4452.36,2026-05-14,2026-05-14,completed
Item SKU Industrial 365,19,19,744.8,744.8,2024-05-25,2024-05-25,completed
Item SKU Industrial 394,25,25,906.0,906.0,2026-05-04,2026-05-04,completed
Item SKU Industrial 365,2,2,78.4,78.4,2025-06-08,2025-06-08,completed
Item SKU Industrial 240,51,51,10335.15,10335.15,2024-02-15,2024-02-15,completed
Item SKU Industrial 340,40,40,1556.8,1790.32,2025-07-28,2025-07-28,completed
Item SKU Industrial 282,9,9,342.45,342.45,2024-02-23,2024-02-25,completed_late
Item SKU Industrial 481,30,30,804.9,804.9,2026-05-03,2026-05-03,completed
Item SKU Industrial 363,53,53,8085.68,8085.68,2024-09-02,2024-09-02,completed
Item SKU Industrial 403,44,44,5010.72,5010.72,2026-03-26,2026-04-03,completed_late
Item SKU Industrial 166,31,31,7530.52,7530.52,2024-12-23,2024-12-23,completed
Item SKU Industrial 127,3,3,186.84,186.84,2026-03-23,2026-03-23,completed
Item SKU Industrial 260,14,14,206.36,206.36,2024-01-22,2024-01-22,completed
Item SKU Industrial 290,28,28,422.24,422.24,2026-01-24,2026-01-26,completed_late
Item SKU Industrial 159,18,18,1114.92,1114.92,2024-07-25,2024-07-25,completed
Item SKU Industrial 497,37,37,1067.82,1067.82,2025-12-19,2025-12-19,completed
Item SKU Industrial 234,7,7,465.71,535.57,2026-02-12,2026-02-12,completed
Item SKU Industrial 133,24,24,3774.48,3774.48,2024-01-18,2024-01-18,completed
Item SKU Industrial 130,29,29,2859.69,2859.69,2025-03-13,2025-03-13,completed
Item SKU Industrial 120,18,18,954.36,954.36,2025-04-05,2025-04-05,completed
Item SKU Industrial 62,26,26,286.0,286.0,2024-01-26,2024-01-28,completed_late
Item SKU Industrial 27,49,49,10825.08,10825.08,2026-01-06,2026-01-06,completed
Item SKU Industrial 130,7,7,690.27,690.27,2025-12-04,2025-12-04,completed
Item SKU Industrial 69,37,37,1335.33,1335.33,2024-11-01,2024-11-01,completed
Item SKU Industrial 437,31,31,4100.68,4100.68,2025-07-25,2025-07-25,completed
Item SKU Industrial 301,37,37,11629.47,11629.47,2026-03-23,2026-03-23,completed
Item SKU Industrial 304,29,29,9037.27,9037.27,2026-04-11,2026-04-11,completed
Item SKU Industrial 48,26,26,346.32,398.27,2025-10-23,2025-10-25,completed_late
Item SKU Industrial 436,19,19,6022.24,6022.24,2025-03-08,2025-03-08,completed
Item SKU Industrial 356,20,20,385.8,385.8,2025-05-12,2025-05-12,completed
Item SKU Industrial 488,40,40,2370.8,2370.8,2025-08-15,2025-08-15,completed
Item SKU Industrial 157,44,44,26428.16,26428.16,2024-01-22,2024-01-22,completed
Item SKU Industrial 401,38,38,793.06,793.06,2024-02-04,2024-02-04,completed
Item SKU Industrial 449,53,53,2408.32,2408.32,2025-05-18,2025-05-18,completed
Item SKU Industrial 355,36,36,696.6,696.6,2025-07-17,2025-07-19,completed_late
Item SKU Industrial 358,27,27,2535.3,2535.3,2024-06-06,2024-06-06,completed
Item SKU Industrial 329,12,12,172.08,172.08,2025-12-25,2025-12-25,completed
Item SKU Industrial 338,18,18,1082.7,1082.7,2025-12-11,2025-12-11,completed
Item SKU Industrial 46,13,13,1934.14,2224.26,2025-03-30,2025-04-07,completed_late
Item SKU Industrial 144,47,47,18941.47,18941.47,2025-09-21,2025-09-21,completed
Item SKU Industrial 238,1,1,101.35,101.35,2025-05-08,2025-05-08,completed
Item SKU Industrial 297,29,29,6417.7,6417.7,2026-01-02,2026-01-04,completed_late
Item SKU Industrial 371,7,7,1604.82,1604.82,2025-06-14,2025-06-14,completed
Item SKU Industrial 242,33,33,302.94,302.94,2024-07-19,2024-07-19,completed
Item SKU Industrial 56,14,14,249.62,249.62,2024-07-22,2024-07-22,completed
Item SKU Industrial 380,1,1,18.99,18.99,2025-11-23,2025-11-23,completed
Item SKU Industrial 475,34,34,2877.76,2877.76,2026-01-19,2026-01-19,completed
