id_op,id_produto,quantidade_planejada,quantidade_produzida,data_inicio,status
OP000047,P0151,40,40,2024-12-20,Finalizada
OP000048,P0102,51,51,2025-07-07,Finalizada
OP000049,P0013,38,38,2024-10-14,Finalizada
OP000050,P0490,24,24,2025-01-20,Finalizada
OP000051,P0150,35,35,2025-11-23,Finalizada
OP000052,P0130,26,26,2026-04-08,Finalizada
OP000053,P0434,41,41,2025-02-12,Finalizada
OP000054,P0146,44,44,2024-03-30,Finalizada
OP000055,P0342,18,18,2025-03-13,Finalizada
OP000056,P0167,52,52,2025-01-25,Finalizada
OP000057,P0363,50,50,2025-11-12,Finalizada
OP000058,P0183,45,45,2025-03-21,Finalizada
OP000059,P0106,18,18,2026-05-12,Finalizada
OP000060,P0182,40,40,2024-06-05,Finalizada
OP000061,P0158,14,14,2025-02-11,Finalizada
OP000062,P0288,23,23,2024-01-03,Finalizada
OP000063,P0350,1,1,2025-05-20,Finalizada
OP000064,P0416,8,8,2024-01-02,Finalizada
OP000065,P0459,30,30,2026-04-08,Finalizada
OP000066,P0263,1,1,2025-05-09,Finalizada
OP000067,P0491,17,17,2026-04-13,Finalizada
OP000068,P0090,26,26,2024-11-20,Finalizada
OP000069,P0191,36,36,2026-02-26,Finalizada
OP000070,P0458,35,35,2025-10-03,Finalizada
OP000071,P0214,12,12,2025-12-17,Finalizada
OP000072,P0122,14,14,2024-07-11,Finalizada
OP000073,P0136,27,27,2025-11-13,Finalizada
OP000074,P0104,2,2,2025-01-16,Finalizada
OP000075,P0053,25,25,2025-12-14,Finalizada
OP000076,P0056,47,47,2024-09-11,Finalizada
OP000077,P0069,49,49,2026-04-16,Finalizada
OP000078,P0339,51,51,2025-06-30,Finalizada
OP000079,P0232,8,8,2025-01-06,Finalizada
OP000080,P0105,45,45,2026-01-29,Finalizada
OP000081,P0279,11,11,2024-05-23,Finalizada
OP000082,P0143,45,45,2025-01-17,Finalizada
OP000083,P0227,11,11,2025-02-21,Finalizada
OP000084,P0446,37,37,2025-02-20,Finalizada
OP000085,P0315,6,6,2024-03-13,Finalizada
OP000086,P0282,50,50,2024-03-06,Finalizada
OP000087,P0118,25,25,2026-04-10,Finalizada
OP000088,P0281,34,34,2024-10-13,Finalizada
OP000089,P0337,13,13,2026-03-18,Finalizada
OP000090,P0280,42,42,2025-04-14,Finalizada
OP000091,P0254,45,45,2025-12-05,Finalizada
OP000092,P0426,41,41,2025-10-10,Finalizada
OP000093,P0287,27,27,2025-01-13,Finalizada
OP000094,P0327,51,51,2026-02-26,Finalizada
OP000095,P0134,15,15,2026-01-24,Finalizada
OP000096,P0100,37,37,2026-04-28,Finalizada
OP000097,P0108,38,38,2025-04-08,Finalizada
OP000098,P0221,40,40,2025-06-07,Finalizada
OP000099,P0482,49,49,2024-08-09,Finalizada
OP000100,P0271,25,25,2026-01-28,Finalizada
OP000101,P0181,7,7,2024-02-29,Finalizada
OP000102,P0383,12,12,2025-08-14,Finalizada
OP000103,P0495,2,2,2025-08-26,Finalizada
OP000104,P0451,6,6,2025-08-19,Finalizada
OP000105,P0090,24,24,2024-05-09,Finalizada
OP000106,P0171,27,27,2026-04-15,Finalizada
OP000107,P0134,7,7,2025-11-27,Finalizada
OP000108,P0079,1,1,2024-10-11,Finalizada
OP000109,P0070,24,24,2025-09-25,Finalizada
OP000110,P0004,6,6,2025-11-28,Finalizada
OP000111,P0043,52,52,2026-05-19,Finalizada
OP000112,P0372,41,41,2024-06-12,Finalizada
OP000113,P0451,17,17,2024-04-16,Finalizada
OP000114,P0034,4,4,2026-03-10,Finalizada
OP000115,P0286,6,6,2025-08-01,Finalizada
OP000116,P0290,15,15,2025-03-09,Finalizada
OP000117,P0489,39,39,2026-05-17,Finalizada
OP000118,P0090,23,23,2026-02-02,Finalizada
OP000119,P0268,26,26,2025-01-28,Finalizada
OP000120,P0092,51,51,2026-05-13,Finalizada
OP000121,P0138,4,4,2026-04-14,Finalizada
OP000122,P0002,22,22,2026-03-11,Finalizada
OP000123,P0304,51,51,2025-03-03,Finalizada
OP000124,P0433,19,19,2025-06-09,Finalizada
OP000125,P0108,11,11,2024-01-22,Finalizada
OP000126,P0436,36,36,2024-12-20,Finalizada
OP000127,P0077,1,1,2024-10-15,Finalizada
OP000128,P0106,19,19,2026-04-27,Finalizada
OP000129,P0484,8,8,2025-02-03,Finalizada
OP000130,P0330,12,12,2025-11-06,Finalizada
OP000131,P0425,6,6,2024-02-13,Finalizada
OP000132,P0044,27,27,2025-10-20,Finalizada
OP000133,P0036,17,17,2024-11-18,Finalizada
OP000134,P0200,45,45,2024-06-29,Finalizada
OP000135,P0081,22,22,2024-08-05,Finalizada
OP000136,P0160,15,15,2025-10-08,Finalizada
OP000137,P0211,36,36,2025-05-23,Finalizada
OP000138,P0385,23,23,2025-12-16,Finalizada
OP000139,P0246,2,2,2025-03-12,Finalizada
OP000140,P0215,49,49,2025-07-11,Finalizada
OP000141,P0354,48,48,2026-04-28,Finalizada
OP000142,P0141,49,49,2026-04-09,Finalizada
OP000143,P0284,20,20,2025-01-15,Finalizada
OP000144,P0253,47,47,2025-03-18,Finalizada
OP000145,P0259,44,44,2024-12-16,Finalizada
OP000146,P0023,34,34,2025-02-24,Finalizada
OP000147,P0384,1,1,2025-04-17,Finalizada
OP000148,P0216,11,11,2025-10-22,Finalizada
OP000149,P0339,31,31,2025-11-05,Finalizada
OP000150,P0459,47,47,2024-11-07,Finalizada
OP000151,P0399,46,46,2025-10-15,Finalizada
OP000152,P0070,39,39,2024-01-09,Finalizada
OP000153,P0191,46,46,2025-02-04,Finalizada
OP000154,P0231,49,49,2026-05-18,Finalizada
OP000155,P0402,6,6,2024-02-11,Finalizada
OP000156,P0304,31,31,2025-08-25,Finalizada
OP000157,P0499,50,50,2026-01-21,Finalizada
OP000158,P0226,52,52,2024-02-29,Finalizada
OP000159,P0397,51,51,2026-03-04,Finalizada
OP000160,P0327,33,33,2026-03-01,Finalizada
OP000161,P0318,44,44,2025-12-10,Finalizada
OP000162,P0171,34,34,2025-01-29,Finalizada
OP000163,P0037,36,36,2025-11-16,Finalizada
OP000164,P0432,26,26,2025-11-11,Finalizada
OP000165,P0366,40,40,2025-01-30,Finalizada
OP000166,P0485,36,36,2025-01-27,Finalizada
OP000167,P0471,4,4,2024-07-22,Finalizada
OP000168,P0486,11,11,2024-01-08,Finalizada
OP000169,P0460,20,20,2026-03-19,Finalizada
OP000170,P0364,14,14,2025-04-29,Finalizada
OP000171,P0245,2,2,2024-03-15,Finalizada
OP000172,P0480,19,19,2026-01-09,Finalizada
OP000173,P0164,6,6,2025-09-27,Finalizada
OP000174,P0362,40,40,2025-11-14,Finalizada
OP000175,P0184,38,38,2024-02-29,Finalizada
OP000176,P0023,31,31,2026-05-07,Finalizada
OP000177,P0249,31,31,2025-08-14,Finalizada
OP000178,P0119,51,51,2025-04-01,Finalizada
OP000179,P0250,7,7,2025-11-20,Finalizada
OP000180,P0340,4,4,2026-01-10,Finalizada
OP000181,P0113,15,15,2026-03-31,Finalizada
OP000182,P0141,28,28,2024-06-04,Finalizada
OP000183,P0147,13,13,2025-06-18,Finalizada
OP000184,P0284,42,42,2025-02-21,Finalizada
OP000185,P0274,28,28,2024-11-14,Finalizada
OP000186,P0255,45,45,2026-03-13,Finalizada
OP000187,P0164,28,28,2025-01-06,Finalizada
OP000188,P0458,49,49,2025-05-06,Finalizada
OP000189,P0291,42,42,2025-08-05,Finalizada
OP000190,P0035,16,16,2025-06-02,Finalizada
OP000191,P0337,12,12,2025-03-21,Finalizada
OP000192,P0023,34,34,2025-11-03,Finalizada
OP000193,P0395,37,37,2024-05-27,Finalizada
OP000194,P0367,35,35,2025-11-11,Finalizada
OP000195,P0002,31,31,2024-02-13,Finalizada
OP000196,P0434,34,34,2025-01-14,Finalizada
OP000197,P0083,53,53,2025-11-26,Finalizada
OP000198,P0010,6,6,2026-03-19,Finalizada
OP000199,P0022,11,11,2024-07-20,Finalizada
OP000200,P0311,52,52,2025-02-11,Finalizada
OP000201,P0373,2,2,2025-08-18,Finalizada
OP000202,P0426,24,24,2024-06-13,Finalizada
OP000203,P0282,24,24,2026-05-16,Finalizada
OP000204,P0219,24,24,2025-06-12,Finalizada
OP000205,P0150,42,42,2025-09-01,Finalizada
OP000206,P0086,11,11,2026-03-13,Finalizada
OP000207,P0013,28,28,2025-06-25,Finalizada
OP000208,P0296,4,4,2024-11-27,Finalizada
OP000209,P0275,50,50,2024-12-06,Finalizada
OP000210,P0339,2,2,2024-03-15,Finalizada
OP000211,P0418,4,4,2025-04-23,Finalizada
OP000212,P0001,48,48,2026-01-29,Finalizada
OP000213,P0268,36,36,2024-03-25,Finalizada
OP000214,P0332,46,46,2025-07-07,Finalizada
OP000215,P0457,37,37,2026-04-17,Finalizada
OP000216,P0107,12,12,2025-05-16,Finalizada
OP000217,P0232,45,45,2025-02-21,Finalizada
OP000218,P0293,5,5,2024-05-06,Finalizada
OP000219,P0256,41,41,2025-08-11,Finalizada
OP000220,P0173,9,9,2026-03-06,Finalizada
OP000221,P0203,53,53,2024-05-07,Finalizada
OP000222,P0384,27,27,2025-04-15,Finalizada
OP000223,P0046,11,11,2026-01-16,Finalizada
OP000224,P0016,19,19,2026-04-17,Finalizada
OP000225,P0059,23,23,2024-08-28,Finalizada
OP000226,P0361,2,2,2024-11-29,Finalizada
OP000227,P0129,53,53,2024-12-11,Finalizada
OP000228,P0214,29,29,2026-03-31,Finalizada
OP000229,P0219,46,46,2025-09-10,Finalizada
OP000230,P0194,24,24,2025-06-13,Finalizada
OP000231,P0014,42,42,2025-12-30,Finalizada
OP000232,P0144,23,23,2024-03-26,Finalizada
OP000233,P0359,41,41,2026-04-16,Finalizada
OP000234,P0024,7,7,2026-02-26,Finalizada
OP000235,P0476,46,46,2025-11-01,Finalizada
OP000236,P0320,47,47,2024-02-20,Finalizada
OP000237,P0395,41,41,2026-02-12,Finalizada
OP000238,P0467,28,28,2026-02-22,Finalizada
OP000239,P0291,15,15,2024-11-13,Finalizada
OP000240,P0163,24,24,2024-02-24,Finalizada
OP000241,P0493,26,26,2025-08-23,Finalizada
OP000242,P0280,39,39,2025-12-24,Finalizada
OP000243,P0074,41,41,2026-05-11,Finalizada
OP000244,P0309,12,12,2026-05-21,Finalizada
OP000245,P0430,4,4,2024-02-21,Finalizada
OP000246,P0431,51,51,2025-01-21,Finalizada
OP000247,P0413,28,28,2024-12-17,Finalizada
OP000248,P0383,15,15,2024-09-16,Finalizada
OP000249,P0029,16,16,2026-05-02,Finalizada
OP000250,P0477,38,38,2025-06-04,Finalizada
OP000251,P0482,44,44,2024-11-01,Finalizada
OP000252,P0051,2,2,2025-08-10,Finalizada
OP000253,P0252,17,17,2026-04-28,Finalizada
OP000254,P0385,19,19,2026-03-18,Finalizada
OP000255,P0247,11,11,2026-03-10,Finalizada
OP000256,P0066,2,2,2025-11-14,Finalizada
OP000257,P0139,23,23,2025-12-27,Finalizada
OP000258,P0167,46,46,2024-10-21,Finalizada
OP000259,P0264,33,33,2025-09-03,Finalizada
OP000260,P0327,44,44,2025-09-12,Finalizada
OP000261,P0140,13,13,2026-05-20,Finalizada
OP000262,P0196,45,45,2024-01-15,Finalizada
OP000263,P0485,39,39,2024-11-28,Finalizada
OP000264,P0131,4,4,2025-01-01,Finalizada
OP000265,P0298,40,40,2026-02-16,Finalizada
OP000266,P0276,2,2,2025-07-29,Finalizada
OP000267,P0408,30,30,2025-12-24,Finalizada
OP000268,P0101,28,28,2024-07-24,Finalizada
OP000269,P0343,2,2,2024-01-22,Finalizada
OP000270,P0126,49,49,2025-10-09,Finalizada
OP000271,P0123,2,2,2025-09-11,Finalizada
OP000272,P0036,1,1,2024-04-04,Finalizada
OP000273,P0069,28,28,2026-03-09,Finalizada
OP000274,P0434,4,4,2024-01-24,Finalizada
OP000275,P0471,22,22,2025-10-09,Finalizada
OP000276,P0374,48,48,2026-01-09,Finalizada
OP000277,P0158,30,30,2025-06-27,Finalizada
OP000278,P0352,53,53,2025-05-30,Finalizada
OP000279,P0040,45,45,2026-03-06,Finalizada
OP000280,P0032,34,34,2025-11-19,Finalizada
OP000281,P0257,22,22,2026-05-11,Finalizada
OP000282,P0365,19,19,2024-05-22,Finalizada
OP000283,P0394,25,25,2026-05-01,Finalizada
OP000284,P0365,2,2,2025-06-05,Finalizada
OP000285,P0240,51,51,2024-02-12,Finalizada
OP000286,P0340,40,40,2025-07-25,Finalizada
OP000287,P0282,9,9,2024-02-20,Finalizada
OP000288,P0481,30,30,2026-04-30,Finalizada
OP000289,P0363,53,53,2024-08-30,Finalizada
OP000290,P0403,44,44,2026-03-23,Finalizada
OP000291,P0166,31,31,2024-12-20,Finalizada
OP000292,P0127,3,3,2026-03-20,Finalizada
OP000293,P0260,14,14,2024-01-19,Finalizada
OP000294,P0290,28,28,2026-01-21,Finalizada
OP000295,P0159,18,18,2024-07-22,Finalizada
OP000296,P0497,37,37,2025-12-16,Finalizada
OP000297,P0234,7,7,2026-02-09,Finalizada
OP000298,P0133,24,24,2024-01-15,Finalizada
OP000299,P0130,29,29,2025-03-10,Finalizada
OP000300,P0120,18,18,2025-04-02,Finalizada
OP000301,P0062,26,26,2024-01-23,Finalizada
OP000302,P0027,49,49,2026-01-03,Finalizada
OP000303,P0130,7,7,2025-12-01,Finalizada
OP000304,P0069,37,37,2024-10-29,Finalizada
OP000305,P0437,31,31,2025-07-22,Finalizada
OP000306,P0301,37,37,2026-03-20,Finalizada
OP000307,P0304,29,29,2026-04-08,Finalizada
OP000308,P0048,26,26,2025-10-20,Finalizada
OP000309,P0436,19,19,2025-03-05,Finalizada
OP000310,P0356,20,20,2025-05-09,Finalizada
OP000311,P0488,40,40,2025-08-12,Finalizada
OP000312,P0157,44,44,2024-01-19,Finalizada
OP000313,P0401,38,38,2024-02-01,Finalizada
OP000314,P0449,53,53,2025-05-15,Finalizada
OP000315,P0355,36,36,2025-07-14,Finalizada
OP000316,P0358,27,27,2024-06-03,Finalizada
OP000317,P0329,12,12,2025-12-22,Finalizada
OP000318,P0338,18,18,2025-12-08,Finalizada
OP000319,P0046,13,13,2025-03-27,Finalizada
OP000320,P0144,47,47,2025-09-18,Finalizada
OP000321,P0238,1,1,2025-05-05,Finalizada
OP000322,P0297,29,29,2025-12-30,Finalizada
OP000323,P0371,7,7,2025-06-11,Finalizada
OP000324,P0242,33,33,2024-07-16,Finalizada
OP000325,P0056,14,14,2024-07-19,Finalizada
OP000326,P0380,1,1,2025-11-20,Finalizada
OP000327,P0475,34,34,2026-01-16,Finalizada
OP000328,P0405,19,19,2026-01-15,Finalizada
OP000329,P0096,3,3,2025-04-11,Finalizada
OP000330,P0263,20,20,2026-04-15,Finalizada
OP000331,P0475,2,2,2024-06-10,Finalizada
OP000332,P0077,3,3,2025-06-19,Finalizada
OP000333,P0093,22,22,2024-11-29,Finalizada
OP000334,P0329,52,52,2024-11-26,Finalizada
OP000335,P0308,46,46,2026-03-17,Finalizada
OP000336,P0489,33,33,2024-10-22,Finalizada
OP000337,P0368,22,22,2024-10-30,Finalizada
OP000338,P0218,42,42,2026-04-22,Finalizada
OP000339,P0274,36,36,2025-12-11,Finalizada
OP000340,P0472,35,35,2025-09-27,Finalizada
OP000341,P0483,14,14,2024-09-30,Finalizada
OP000342,P0013,17,17,2025-12-16,Finalizada
OP000343,P0087,46,46,2025-11-04,Finalizada
OP000344,P0169,15,15,2025-06-13,Finalizada
OP000345,P0164,29,29,2025-12-16,Finalizada
OP000346,P0348,48,48,2026-04-09,Finalizada
OP000347,P0045,7,7,2025-05-01,Finalizada
OP000348,P0165,47,47,2026-01-08,Finalizada
OP000349,P0487,6,6,2024-10-18,Finalizada
OP000350,P0396,26,26,2026-01-14,Finalizada
OP000351,P0267,51,51,2025-10-16,Finalizada
OP000352,P0274,19,19,2025-04-28,Finalizada
OP000353,P0280,19,19,2025-04-14,Finalizada
OP000354,P0495,25,25,2025-12-23,Finalizada
OP000355,P0186,6,6,2026-02-27,Finalizada
OP000356,P0001,8,8,2024-03-04,Finalizada
OP000357,P0034,39,39,2025-03-14,Finalizada
OP000358,P0452,45,45,2025-12-19,Finalizada
OP000359,P0139,45,45,2025-01-17,Finalizada
OP000360,P0364,46,46,2026-05-13,Finalizada
OP000361,P0421,38,38,2024-08-27,Finalizada
OP000362,P0295,23,23,2024-01-09,Finalizada
OP000363,P0203,20,20,2025-10-22,Finalizada
OP000364,P0132,13,13,2024-04-25,Finalizada
OP000365,P0019,51,51,2025-09-28,Finalizada
OP000366,P0055,13,13,2025-09-26,Finalizada
OP000367,P0081,39,39,2025-06-18,Finalizada
OP000368,P0008,49,49,2024-11-05,Finalizada
OP000369,P0054,29,29,2025-08-24,Finalizada
OP000370,P0155,19,19,2025-07-08,Finalizada
OP000371,P0343,25,25,2026-04-17,Finalizada
OP000372,P0485,19,19,2026-03-04,Finalizada
OP000373,P0188,45,45,2024-09-06,Finalizada
OP000374,P0475,37,37,2024-10-15,Finalizada
OP000375,P0114,27,27,2024-06-18,Finalizada
OP000376,P0466,49,49,2025-02-07,Finalizada
OP000377,P0193,26,26,2026-04-02,Finalizada
OP000378,P0355,36,36,2025-02-13,Finalizada
OP000379,P0045,4,4,2024-03-14,Finalizada
OP000380,P0032,33,33,2025-03-07,Finalizada
OP000381,P0203,44,44,2024-12-02,Finalizada
OP000382,P0480,36,36,2026-01-13,Finalizada
OP000383,P0077,30,30,2025-08-25,Finalizada
OP000384,P0051,50,50,2024-07-25,Finalizada
OP000385,P0431,35,35,2024-06-19,Finalizada
OP000386,P0050,18,18,2025-12-11,Finalizada
OP000387,P0257,5,5,2024-11-25,Finalizada
OP000388,P0020,12,12,2025-11-19,Finalizada
OP000389,P0084,37,37,2025-03-25,Finalizada
OP000390,P0455,17,17,2026-02-23,Finalizada
OP000391,P0061,36,36,2025-02-10,Finalizada
OP000392,P0273,49,49,2024-12-20,Finalizada
OP000393,P0230,11,11,2025-11-01,Finalizada
OP000394,P0258,33,33,2026-02-10,Finalizada
OP000395,P0422,8,8,2025-01-17,Finalizada
OP000396,P0284,18,18,2024-02-14,Finalizada
OP000397,P0293,34,34,2026-02-10,Finalizada
OP000398,P0256,41,41,2024-02-01,Finalizada
OP000399,P0223,30,30,2024-01-23,Finalizada
OP000400,P0186,4,4,2024-04-21,Finalizada
OP000401,P0241,9,9,2025-12-16,Finalizada
OP000402,P0416,19,19,2024-06-13,Finalizada
OP000403,P0179,31,31,2026-05-14,Finalizada
OP000404,P0094,8,8,2025-06-23,Finalizada
OP000405,P0289,22,22,2024-05-23,Finalizada
OP000406,P0418,11,11,2025-04-03,Finalizada
OP000407,P0298,5,5,2025-12-09,Finalizada
OP000408,P0092,13,13,2025-05-08,Finalizada
OP000409,P0232,45,45,2026-03-26,Finalizada
OP000410,P0060,23,23,2026-04-22,Finalizada
OP000411,P0404,27,27,2024-03-06,Finalizada
OP000412,P0115,53,53,2025-08-06,Finalizada
OP000413,P0287,50,50,2025-07-25,Finalizada
OP000414,P0303,50,50,2024-02-01,Finalizada
OP000415,P0476,25,25,2026-03-25,Finalizada
OP000416,P0441,2,2,2025-06-25,Finalizada
OP000417,P0282,12,12,2025-03-28,Finalizada
OP000418,P0155,13,13,2026-03-13,Finalizada
OP000419,P0024,7,7,2024-05-10,Finalizada
OP000420,P0141,18,18,2025-06-12,Finalizada
OP000421,P0368,29,29,2024-11-27,Finalizada
OP000422,P0287,34,34,2025-04-16,Finalizada
OP000423,P0456,19,19,2025-06-30,Finalizada
OP000424,P0498,8,8,2025-10-09,Finalizada
OP000425,P0124,53,53,2025-07-07,Finalizada
OP000426,P0327,30,30,2026-05-04,Finalizada
OP000427,P0249,17,17,2024-03-29,Finalizada
OP000428,P0422,5,5,2026-05-15,Finalizada
OP000429,P0230,11,11,2025-12-03,Finalizada
OP000430,P0431,8,8,2025-11-05,Finalizada
OP000431,P0126,6,6,2025-02-12,Finalizada
OP000432,P0273,17,17,2026-02-04,Finalizada
OP000433,P0302,29,29,2024-03-15,Finalizada
OP000434,P0348,40,40,2025-07-05,Finalizada
OP000435,P0299,4,4,2025-02-07,Finalizada
OP000436,P0122,45,45,2025-09-24,Finalizada
OP000437,P0493,36,36,2026-01-14,Finalizada
OP000438,P0246,25,25,2024-03-11,Finalizada
OP000439,P0230,40,40,2025-01-14,Finalizada
OP000440,P0344,39,39,2026-03-13,Finalizada
OP000441,P0422,19,19,2024-04-08,Finalizada
OP000442,P0458,2,2,2024-05-10,Finalizada
OP000443,P0207,22,22,2026-02-05,Finalizada
OP000444,P0337,25,25,2024-06-14,Finalizada
OP000445,P0033,27,27,2025-12-23,Finalizada
OP000446,P0256,6,6,2024-10-22,Finalizada
OP000447,P0163,29,29,2025-07-24,Finalizada
OP000448,P0041,53,53,2026-01-05,Finalizada
OP000449,P0244,29,29,2025-12-30,Finalizada
OP000450,P0083,40,40,2024-09-10,Finalizada
OP000451,P0186,44,44,2025-04-11,Finalizada
OP000452,P0198,36,36,2024-07-10,Finalizada
OP000453,P0323,51,51,2024-08-07,Finalizada
OP000454,P0145,15,15,2025-06-27,Finalizada
OP000455,P0299,23,23,2025-06-25,Finalizada
OP000456,P0464,52,52,2026-05-06,Finalizada
OP000457,P0019,5,5,2024-04-26,Finalizada
OP000458,P0085,22,22,2024-04-07,Finalizada
OP000459,P0315,31,31,2024-02-26,Finalizada
OP000460,P0069,11,11,2024-01-09,Finalizada
OP000461,P0136,31,31,2025-03-05,Finalizada
OP000462,P0389,42,42,2026-03-16,Finalizada
OP000463,P0059,13,13,2026-02-02,Finalizada
OP000464,P0148,5,5,2026-03-19,Finalizada
OP000465,P0305,48,48,2024-02-20,Finalizada
OP000466,P0148,5,5,2024-11-04,Finalizada
OP000467,P0055,46,46,2026-02-02,Finalizada
OP000468,P0389,29,29,2024-06-10,Finalizada
OP000469,P0322,5,5,2025-06-02,Finalizada
OP000470,P0080,53,53,2025-09-05,Finalizada
OP000471,P0305,28,28,2025-12-17,Finalizada
OP000472,P0235,16,16,2025-03-24,Finalizada
OP000473,P0010,25,25,2025-01-16,Finalizada
OP000474,P0432,23,23,2025-04-04,Finalizada
OP000475,P0434,27,27,2025-11-10,Finalizada
OP000476,P0411,15,15,2024-09-25,Finalizada
OP000477,P0280,38,38,2026-01-23,Finalizada
OP000478,P0492,15,15,2025-11-11,Finalizada
OP000479,P0388,12,12,2025-06-02,Finalizada
OP000480,P0453,16,16,2025-11-08,Finalizada
OP000481,P0120,47,47,2026-05-13,Finalizada
OP000482,P0033,38,38,2025-09-16,Finalizada
OP000483,P0077,22,22,2024-07-17,Finalizada
OP000484,P0060,27,27,2026-04-23,Finalizada
OP000485,P0114,16,16,2026-03-05,Finalizada
OP000486,P0168,1,1,2024-06-25,Finalizada
OP000487,P0426,35,35,2024-12-13,Finalizada
OP000488,P0137,51,51,2024-11-05,Finalizada
OP000489,P0464,49,49,2026-02-25,Finalizada
OP000490,P0121,20,20,2025-08-02,Finalizada
OP000491,P0147,31,31,2024-02-21,Finalizada
OP000492,P0039,4,4,2024-05-22,Finalizada
OP000493,P0352,30,30,2026-04-03,Finalizada
OP000494,P0408,5,5,2024-01-30,Finalizada
OP000495,P0041,45,45,2025-05-08,Finalizada
OP000496,P0362,5,5,2024-10-30,Finalizada
OP000497,P0275,7,7,2024-11-28,Finalizada
OP000498,P0493,50,50,2025-08-23,Finalizada
OP000499,P0358,19,19,2025-02-11,Finalizada
OP000500,P0289,47,47,2025-06-20,Finalizada
OP000501,P0030,3,3,2026-04-21,Finalizada
OP000502,P0030,34,34,2025-03-03,Finalizada
OP000503,P0325,9,9,2024-08-22,Finalizada
OP000504,P0134,42,42,2025-04-04,Finalizada
OP000505,P0499,33,33,2025-11-05,Finalizada
OP000506,P0468,1,1,2024-10-14,Finalizada
OP000507,P0125,22,22,2026-04-15,Finalizada
OP000508,P0039,3,3,2024-02-06,Finalizada
OP000509,P0154,47,47,2025-09-10,Finalizada
OP000510,P0077,1,1,2025-08-05,Finalizada
OP000511,P0453,26,26,2025-07-06,Finalizada
OP000512,P0184,16,16,2026-04-10,Finalizada
OP000513,P0021,42,42,2024-05-21,Finalizada
OP000514,P0159,6,6,2025-12-23,Finalizada
OP000515,P0445,9,9,2025-07-18,Finalizada
OP000516,P0287,1,1,2025-07-22,Finalizada
OP000517,P0189,15,15,2026-02-17,Finalizada
OP000518,P0014,26,26,2026-05-18,Finalizada
OP000519,P0199,29,29,2024-05-31,Finalizada
OP000520,P0113,18,18,2024-06-24,Finalizada
OP000521,P0169,36,36,2025-12-17,Finalizada
OP000522,P0196,5,5,2024-05-02,Finalizada
OP000523,P0018,39,39,2026-05-03,Finalizada
OP000524,P0429,23,23,2026-02-17,Finalizada
OP000525,P0276,40,40,2026-05-18,Finalizada
OP000526,P0382,23,23,2024-11-11,Finalizada
OP000527,P0346,7,7,2026-04-28,Finalizada
OP000528,P0469,52,52,2024-09-04,Finalizada
OP000529,P0303,50,50,2025-06-18,Finalizada
OP000530,P0127,26,26,2025-04-23,Finalizada
OP000531,P0378,12,12,2025-06-01,Finalizada
OP000532,P0032,4,4,2024-02-11,Finalizada
OP000533,P0500,24,24,2025-07-01,Finalizada
OP000534,P0294,36,36,2025-10-13,Finalizada
OP000535,P0062,44,44,2026-02-04,Finalizada
