id_pedido,data_emissao,id_cliente,id_produto,quantidade,valor_unitario,total,custo_total_item,status
V000162,2024-01-11,C0239,P0057,26,225.01,5850.26,3480.62,Faturado
V000163,2024-01-11,C0168,P0066,4,23.3,93.2,50.04,Faturado
V000164,2024-01-11,C0038,P0330,46,19.82,911.72,472.42,Faturado
V000165,2024-01-11,C0188,P0098,22,16.62,365.64,185.24,Faturado
V000166,2024-01-11,C0059,P0144,15,664.64,9969.6,6045.15,Faturado
V000167,2024-01-12,C0131,P0214,5,30.55,152.75,82.1,Faturado
V000168,2024-01-12,C0200,P0116,11,101.23,1113.53,630.08,Faturado
V000169,2024-01-12,C0044,P0092,12,60.47,725.64,383.88,Faturado
V000170,2024-01-12,C0097,P0270,10,29.13,291.3,172.9,Faturado
V000171,2024-01-12,C0042,P0411,8,368.63,2949.04,1752.56,Faturado
V000172,2024-01-12,C0244,P0381,24,247.0,5928.0,2777.76,Faturado
V000173,2024-01-12,C0227,P0489,28,97.18,2721.04,1561.28,Faturado
V000174,2024-01-12,C0006,P0168,41,48.94,2006.54,1135.7,Faturado
V000175,2024-01-12,C0167,P0058,36,154.44,5559.84,3161.52,Faturado
V000176,2024-01-12,C0180,P0284,37,165.73,6132.01,2866.02,Faturado
V000177,2024-01-12,C0023,P0026,21,26.33,552.93,257.88,Faturado
V000178,2024-01-12,C0089,P0369,8,114.79,918.32,413.44,Faturado
V000179,2024-01-12,C0123,P0447,9,10.7,96.3,54.9,Faturado
V000180,2024-01-12,C0178,P0066,47,23.3,1095.1,587.97,Faturado
V000181,2024-01-12,C0171,P0409,15,73.63,1104.45,645.9,Faturado
V000182,2024-01-12,C0147,P0248,48,79.42,3812.16,2134.56,Faturado
V000183,2024-01-13,C0040,P0365,8,80.97,647.76,313.6,Faturado
V000184,2024-01-13,C0230,P0259,37,123.93,4585.41,2244.42,Faturado
V000185,2024-01-13,C0161,P0283,32,77.67,2485.44,1329.6,Faturado
V000186,2024-01-13,C0220,P0114,48,460.6,22108.8,11739.84,Faturado
V000187,2024-01-13,C0129,P0363,43,264.41,11369.63,6560.08,Faturado
V000188,2024-01-14,C0119,P0375,34,156.82,5331.88,3438.08,Faturado
V000189,2024-01-14,C0245,P0016,4,708.55,2834.2,1599.0,Faturado
V000190,2024-01-14,C0021,P0129,28,262.14,7339.92,4600.12,Faturado
V000191,2024-01-14,C0158,P0063,38,268.78,10213.64,5556.74,Faturado
V000192,2024-01-14,C0013,P0109,31,158.15,4902.65,2708.78,Faturado
V000193,2024-01-15,C0172,P0325,33,108.42,3577.86,2093.52,Faturado
V000194,2024-01-15,C0121,P0025,21,220.69,4634.49,2903.46,Faturado
V000195,2024-01-15,C0139,P0131,35,36.62,1281.7,661.5,Faturado
V000196,2024-01-15,C0194,P0353,34,247.91,8428.94,4114.0,Faturado
V000197,2024-01-15,C0175,P0196,41,118.23,4847.43,2763.81,Faturado
V000198,2024-01-15,C0108,P0281,47,30.47,1432.09,697.48,Faturado
V000199,2024-01-15,C0108,P0404,18,200.96,3617.28,1910.7,Faturado
V000200,2024-01-15,C0201,P0418,11,115.75,1273.25,629.86,Faturado
V000201,2024-01-15,C0213,P0154,23,18.7,430.1,198.03,Faturado
V000202,2024-01-15,C0216,P0382,48,155.17,7448.16,3734.4,Faturado
V000203,2024-01-15,C0226,P0133,22,269.35,5925.7,3459.94,Faturado
V000204,2024-01-15,C0214,P0227,17,58.98,1002.66,561.17,Faturado
V000205,2024-01-15,C0131,P0189,5,12.2,61.0,30.45,Faturado
V000206,2024-01-15,C0076,P0476,44,20.41,898.04,467.72,Faturado
V000207,2024-01-15,C0220,P0477,11,217.92,2397.12,1330.67,Faturado
V000208,2024-01-15,C0030,P0265,30,81.05,2431.5,1419.9,Faturado
V000209,2024-01-15,C0218,P0372,15,82.65,1239.75,675.6,Faturado
V000210,2024-01-15,C0240,P0486,27,234.1,6320.7,3580.2,Faturado
V000211,2024-01-15,C0021,P0434,35,99.9,3496.5,1907.85,Faturado
V000212,2024-01-15,C0156,P0134,33,458.76,15139.08,7254.06,Faturado
V000213,2024-01-15,C0248,P0211,20,51.19,1023.8,594.0,Faturado
V000214,2024-01-15,C0218,P0060,16,23.18,370.88,202.4,Faturado
V000215,2024-01-16,C0191,P0248,46,79.42,3653.32,2045.62,Faturado
V000216,2024-01-16,C0067,P0156,14,261.42,3659.88,1811.46,Faturado
V000217,2024-01-16,C0004,P0047,36,243.82,8777.52,5024.88,Faturado
V000218,2024-01-16,C0186,P0423,12,134.91,1618.92,883.68,Faturado
V000219,2024-01-16,C0153,P0454,17,210.63,3580.71,2151.52,Faturado
V000220,2024-01-16,C0047,P0201,39,457.93,17859.27,9281.61,Faturado
V000221,2024-01-16,C0038,P0148,9,535.56,4820.04,2707.11,Faturado
V000222,2024-01-16,C0143,P0124,35,559.74,19590.9,11121.25,Faturado
V000223,2024-01-16,C0191,P0001,13,67.62,879.06,568.62,Faturado
V000224,2024-01-16,C0021,P0456,15,48.16,722.4,368.1,Faturado
V000225,2024-01-16,C0227,P0247,18,45.23,814.14,430.56,Faturado
V000226,2024-01-16,C0057,P0343,33,512.98,16928.34,9115.59,Faturado
V000227,2024-01-16,C0117,P0128,6,65.56,393.36,195.48,Faturado
V000228,2024-01-17,C0150,P0091,14,80.47,1126.58,513.52,Faturado
V000229,2024-01-17,C0176,P0354,38,43.78,1663.64,766.08,Faturado
V000230,2024-01-17,C0249,P0376,36,28.65,1031.4,468.36,Faturado
V000231,2024-01-17,C0083,P0046,40,245.23,9809.2,5951.2,Faturado
V000232,2024-01-17,C0110,P0038,17,461.19,7840.23,4933.4,Faturado
V000233,2024-01-17,C0179,P0142,30,80.85,2425.5,1264.5,Faturado
V000234,2024-01-17,C0131,P0100,9,122.52,1102.68,580.86,Faturado
V000235,2024-01-17,C0170,P0328,33,71.56,2361.48,1404.81,Faturado
V000236,2024-01-17,C0019,P0190,25,74.75,1868.75,1151.5,Faturado
V000237,2024-01-17,C0201,P0035,14,24.36,341.04,199.22,Faturado
V000238,2024-01-17,C0028,P0147,11,81.92,901.12,561.22,Faturado
V000239,2024-01-17,C0212,P0030,35,67.86,2375.1,1533.0,Faturado
V000240,2024-01-17,C0173,P0334,41,54.08,2217.28,1399.33,Faturado
V000241,2024-01-17,C0071,P0084,14,18.69,261.66,150.64,Faturado
V000242,2024-01-17,C0206,P0369,30,114.79,3443.7,1550.4,Faturado
V000243,2024-01-17,C0063,P0281,41,30.47,1249.27,608.44,Faturado
V000244,2024-01-17,C0073,P0424,4,188.93,755.72,387.48,Faturado
V000245,2024-01-17,C0124,P0344,4,29.91,119.64,73.76,Faturado
V000246,2024-01-17,C0119,P0270,28,29.13,815.64,484.12,Faturado
V000247,2024-01-17,C0121,P0154,8,18.7,149.6,68.88,Faturado
V000248,2024-01-17,C0019,P0102,2,21.5,43.0,26.54,Faturado
V000249,2024-01-17,C0175,P0215,41,34.71,1423.11,897.08,Faturado
V000250,2024-01-18,C0149,P0120,1,103.46,103.46,53.02,Faturado
V000251,2024-01-18,C0069,P0127,8,125.21,1001.68,498.24,Faturado
V000252,2024-01-18,C0048,P0255,45,53.64,2413.8,1120.5,Faturado
V000253,2024-01-18,C0020,P0183,23,14.38,330.74,212.52,Faturado
V000254,2024-01-18,C0101,P0016,47,708.55,33301.85,18788.25,Faturado
V000255,2024-01-18,C0195,P0477,40,217.92,8716.8,4838.8,Faturado
V000256,2024-01-18,C0172,P0062,12,21.33,255.96,132.0,Faturado
V000257,2024-01-18,C0161,P0369,12,114.79,1377.48,620.16,Faturado
V000258,2024-01-18,C0245,P0432,46,418.55,19253.3,11229.52,Faturado
V000259,2024-01-18,C0201,P0158,47,864.23,40618.81,18997.87,Faturado
V000260,2024-01-18,C0189,P0268,15,45.63,684.45,387.6,Faturado
V000261,2024-01-18,C0137,P0035,41,24.36,998.76,583.43,Faturado
V000262,2024-01-18,C0068,P0267,19,68.31,1297.89,722.19,Faturado
V000263,2024-01-18,C0035,P0064,26,193.75,5037.5,3016.78,Faturado
V000264,2024-01-18,C0209,P0494,29,306.84,8898.36,4119.16,Faturado
V000265,2024-01-18,C0226,P0050,22,18.89,415.58,232.98,Faturado
V000266,2024-01-18,C0216,P0469,40,496.9,19876.0,9634.8,Faturado
V000267,2024-01-18,C0224,P0255,21,53.64,1126.44,522.9,Faturado
V000268,2024-01-19,C0087,P0157,40,1235.87,49434.8,24025.6,Faturado
V000269,2024-01-19,C0166,P0179,14,133.47,1868.58,911.26,Faturado
V000270,2024-01-19,C0006,P0132,35,372.75,13046.25,7041.65,Faturado
V000271,2024-01-19,C0214,P0311,48,132.05,6338.4,3954.24,Faturado
V000272,2024-01-19,C0153,P0455,45,100.28,4512.6,2589.75,Faturado
V000273,2024-01-19,C0210,P0348,20,20.32,406.4,205.0,Faturado
V000274,2024-01-19,C0145,P0028,49,115.56,5662.44,2953.23,Faturado
V000275,2024-01-19,C0061,P0260,13,27.0,351.0,191.62,Faturado
V000276,2024-01-19,C0012,P0406,38,187.6,7128.8,3774.16,Faturado
V000277,2024-01-19,C0006,P0076,49,235.19,11524.31,5694.29,Faturado
V000278,2024-01-19,C0218,P0429,46,149.98,6899.08,3542.92,Faturado
V000279,2024-01-19,C0027,P0067,49,657.32,32208.68,14774.97,Faturado
V000280,2024-01-19,C0136,P0342,8,276.34,2210.72,1267.68,Faturado
V000281,2024-01-19,C0211,P0492,43,35.31,1518.33,874.19,Faturado
V000282,2024-01-19,C0124,P0194,20,361.76,7235.2,4407.0,Faturado
V000283,2024-01-19,C0106,P0472,33,23.38,771.54,459.03,Faturado
V000284,2024-01-19,C0193,P0162,26,294.22,7649.72,4050.28,Faturado
V000285,2024-01-19,C0185,P0347,39,39.99,1559.61,901.68,Faturado
V000286,2024-01-19,C0093,P0439,21,390.45,8199.45,3889.83,Faturado
V000287,2024-01-19,C0109,P0361,49,324.58,15904.42,7439.18,Faturado
V000288,2024-01-19,C0241,P0257,42,348.37,14631.54,8499.96,Faturado
V000289,2024-01-19,C0099,P0072,43,650.32,27963.76,15617.6,Faturado
V000290,2024-01-20,C0037,P0344,49,29.91,1465.59,903.56,Faturado
V000291,2024-01-21,C0192,P0041,19,99.25,1885.75,1079.77,Faturado
V000292,2024-01-21,C0011,P0039,11,137.8,1515.8,862.4,Faturado
V000293,2024-01-21,C0238,P0397,13,291.06,3783.78,1914.38,Faturado
V000294,2024-01-22,C0175,P0168,41,48.94,2006.54,1135.7,Faturado
V000295,2024-01-22,C0084,P0108,10,100.92,1009.2,529.4,Faturado
V000296,2024-01-22,C0082,P0019,2,234.69,469.38,230.96,Faturado
V000297,2024-01-22,C0146,P0332,11,68.37,752.07,429.11,Faturado
V000298,2024-01-22,C0194,P0072,13,650.32,8454.16,4721.6,Faturado
V000299,2024-01-22,C0068,P0456,10,48.16,481.6,245.4,Faturado
V000300,2024-01-22,C0222,P0445,14,71.24,997.36,448.84,Faturado
V000301,2024-01-22,C0161,P0109,18,158.15,2846.7,1572.84,Faturado
V000302,2024-01-22,C0127,P0268,9,45.63,410.67,232.56,Faturado
V000303,2024-01-22,C0164,P0445,39,71.24,2778.36,1250.34,Faturado
V000304,2024-01-22,C0082,P0240,28,320.22,8966.16,5674.2,Faturado
V000305,2024-01-22,C0229,P0417,3,142.37,427.11,205.35,Faturado
V000306,2024-01-22,C0147,P0301,20,615.8,12316.0,6286.2,Faturado
V000307,2024-01-22,C0239,P0090,6,501.21,3007.26,1706.94,Faturado
V000308,2024-01-22,C0156,P0103,27,131.07,3538.89,1759.32,Faturado
V000309,2024-01-22,C0168,P0476,2,20.41,40.82,21.26,Faturado
V000310,2024-01-22,C0084,P0250,29,154.45,4479.05,2656.4,Faturado
V000311,2024-01-22,C0113,P0453,38,73.92,2808.96,1536.34,Faturado
V000312,2024-01-22,C0225,P0008,3,158.71,476.13,276.81,Faturado
V000313,2024-01-22,C0076,P0153,16,57.91,926.56,459.84,Faturado
V000314,2024-01-22,C0122,P0347,30,39.99,1199.7,693.6,Faturado
V000315,2024-01-22,C0243,P0174,40,120.19,4807.6,2291.2,Faturado
V000316,2024-01-22,C0143,P0343,2,512.98,1025.96,552.46,Faturado
V000317,2024-01-22,C0041,P0158,17,864.23,14691.91,6871.57,Faturado
V000318,2024-01-22,C0167,P0493,41,40.12,1644.92,805.65,Faturado
V000319,2024-01-22,C0002,P0431,12,210.02,2520.24,1550.04,Faturado
V000320,2024-01-22,C0191,P0215,35,34.71,1214.85,765.8,Faturado
V000321,2024-01-22,C0029,P0177,43,296.77,12761.11,7613.15,Faturado
V000322,2024-01-23,C0073,P0474,32,114.63,3668.16,1947.52,Faturado
V000323,2024-01-23,C0181,P0357,36,262.77,9459.72,6140.16,Faturado
V000324,2024-01-23,C0230,P0213,33,30.7,1013.1,643.5,Faturado
V000325,2024-01-23,C0122,P0062,24,21.33,511.92,264.0,Faturado
V000326,2024-01-23,C0030,P0049,39,112.31,4380.09,2549.82,Faturado
V000327,2024-01-23,C0188,P0127,34,125.21,4257.14,2117.52,Faturado
V000328,2024-01-23,C0108,P0223,28,38.37,1074.36,618.8,Faturado
V000329,2024-01-23,C0098,P0409,37,73.63,2724.31,1593.22,Faturado
V000330,2024-01-23,C0032,P0279,7,215.23,1506.61,766.92,Faturado
V000331,2024-01-23,C0195,P0408,4,53.51,214.04,123.2,Faturado
V000332,2024-01-23,C0195,P0294,37,40.97,1515.89,878.01,Faturado
V000333,2024-01-23,C0156,P0284,1,165.73,165.73,77.46,Faturado
V000334,2024-01-23,C0172,P0277,1,125.54,125.54,76.57,Faturado
V000335,2024-01-23,C0079,P0438,47,29.97,1408.59,852.58,Faturado
V000336,2024-01-23,C0041,P0107,20,188.49,3769.8,2173.4,Faturado
V000337,2024-01-23,C0063,P0146,19,145.26,2759.94,1488.27,Faturado
V000338,2024-01-23,C0023,P0420,29,12.74,369.46,208.51,Faturado
V000339,2024-01-23,C0104,P0099,10,342.66,3426.6,1788.1,Faturado
V000340,2024-01-23,C0075,P0429,18,149.98,2699.64,1386.36,Faturado
V000341,2024-01-23,C0048,P0375,28,156.82,4390.96,2831.36,Faturado
V000342,2024-01-24,C0045,P0369,37,114.79,4247.23,1912.16,Faturado
V000343,2024-01-24,C0004,P0294,35,40.97,1433.95,830.55,Faturado
V000344,2024-01-24,C0154,P0064,23,193.75,4456.25,2668.69,Faturado
V000345,2024-01-24,C0155,P0325,6,108.42,650.52,380.64,Faturado
V000346,2024-01-24,C0174,P0392,4,225.61,902.44,474.84,Faturado
V000347,2024-01-24,C0246,P0418,18,115.75,2083.5,1030.68,Faturado
V000348,2024-01-24,C0107,P0176,9,120.15,1081.35,689.85,Faturado
V000349,2024-01-24,C0192,P0116,49,101.23,4960.27,2806.72,Faturado
V000350,2024-01-24,C0219,P0440,29,315.91,9161.39,5211.59,Faturado
V000351,2024-01-24,C0234,P0204,13,111.63,1451.19,745.42,Faturado
V000352,2024-01-24,C0051,P0486,47,234.1,11002.7,6232.2,Faturado
V000353,2024-01-24,C0050,P0321,17,151.48,2575.16,1188.98,Faturado
V000354,2024-01-24,C0006,P0031,45,348.82,15696.9,7694.1,Faturado
