statement_type,periodo,codigo_conta,conta,grupo_dre,valor
DRE,2024-02,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,386029.3
DRE,2024-02,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,417432.32
DRE,2024-02,3.01.003,Receita de Vendas - Eletrônicos,Faturamento de Vendas,458884.74
DRE,2024-02,3.01.004,Receita de Vendas - Embalagens,Faturamento de Vendas,299659.86
DRE,2024-02,3.01.005,Receita de Vendas - Químicos,Faturamento de Vendas,561017.2
DRE,2024-02,4.01.001,CMV - Metalmecânica,CMV,-211875.83
DRE,2024-02,4.01.002,CMV - Plásticos,CMV,-227607.92
DRE,2024-02,4.01.003,CMV - Eletrônicos,CMV,-258582.66
DRE,2024-02,4.01.004,CMV - Embalagens,CMV,-164762.75
DRE,2024-02,4.01.005,CMV - Químicos,CMV,-310413.66
DRE,2024-02,5.01.001,Salarios e Ordenados CLT,Folha de Pagamento,-28722.06
DRE,2024-02,5.01.002,Encargos Sociais FGTS/INSS,Folha de Pagamento,-12236.53
DRE,2024-02,5.01.003,Pro-labore Administrativo,Folha de Pagamento,-6610.2
DRE,2024-02,5.02.001,Aluguel e Condominio,Custos Ocupacionais,-5665.81
DRE,2024-02,5.02.002,Energia Eletrica e Utilidades,Custos Ocupacionais,-2639.53
DRE,2024-02,5.03.001,Marketing Digital e Feiras,Marketing e Vendas,-3289.74
DRE,2024-02,5.03.002,Comissoes e Bonificacoes de Vendas,Marketing e Vendas,-2042.46
DRE,2024-02,5.04.001,Software ERP e Ferramentas SaaS,Despesas Administrativas (Software/SaaS),-2382.31
DRE,2024-02,5.04.002,Contabilidade e Assessoria Juridica,Despesas Administrativas (Software/SaaS),-1794.95
DRE,2024-02,5.04.003,Material de Escritorio e Viagens,Despesas Administrativas (Software/SaaS),-989.23
DRE,2024-02,5.05.001,PIS sobre Faturamento,Impostos sobre Vendas,-35029.89
DRE,2024-02,5.05.002,COFINS sobre Faturamento,Impostos sobre Vendas,-161349.78
DRE,2024-03,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,306121.48
DRE,2024-03,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,441175.94
DRE,2024-03,3.01.003,Receita de Vendas - Eletrônicos,Faturamento de Vendas,386618.56
DRE,2024-03,3.01.004,Receita de Vendas - Embalagens,Faturamento de Vendas,382463.0
DRE,2024-03,3.01.005,Receita de Vendas - Químicos,Faturamento de Vendas,521482.95
DRE,2024-03,4.01.001,CMV - Metalmecânica,CMV,-160473.49
DRE,2024-03,4.01.002,CMV - Plásticos,CMV,-234997.76
DRE,2024-03,4.01.003,CMV - Eletrônicos,CMV,-216166.67
DRE,2024-03,4.01.004,CMV - Embalagens,CMV,-213225.35
DRE,2024-03,4.01.005,CMV - Químicos,CMV,-287243.87
DRE,2024-03,5.01.001,Salarios e Ordenados CLT,Folha de Pagamento,-29350.47
DRE,2024-03,5.01.002,Encargos Sociais FGTS/INSS,Folha de Pagamento,-12196.45
DRE,2024-03,5.01.003,Pro-labore Administrativo,Folha de Pagamento,-6951.7
DRE,2024-03,5.02.001,Aluguel e Condominio,Custos Ocupacionais,-5391.45
DRE,2024-03,5.02.002,Energia Eletrica e Utilidades,Custos Ocupacionais,-2757.69
DRE,2024-03,5.03.001,Marketing Digital e Feiras,Marketing e Vendas,-3414.43
DRE,2024-03,5.03.002,Comissoes e Bonificacoes de Vendas,Marketing e Vendas,-2029.18
DRE,2024-03,5.04.001,Software ERP e Ferramentas SaaS,Despesas Administrativas (Software/SaaS),-2406.5
DRE,2024-03,5.04.002,Contabilidade e Assessoria Juridica,Despesas Administrativas (Software/SaaS),-1692.6
DRE,2024-03,5.04.003,Material de Escritorio e Viagens,Despesas Administrativas (Software/SaaS),-1058.94
DRE,2024-03,5.05.001,PIS sobre Faturamento,Impostos sobre Vendas,-33624.72
DRE,2024-03,5.05.002,COFINS sobre Faturamento,Impostos sobre Vendas,-154877.51
DRE,2024-04,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,358017.31
DRE,2024-04,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,471033.94
DRE,2024-04,3.01.003,Receita de Vendas - Eletrônicos,Faturamento de Vendas,418832.93
DRE,2024-04,3.01.004,Receita de Vendas - Embalagens,Faturamento de Vendas,288129.87
DRE,2024-04,3.01.005,Receita de Vendas - Químicos,Faturamento de Vendas,486108.56
DRE,2024-04,4.01.001,CMV - Metalmecânica,CMV,-189860.15
DRE,2024-04,4.01.002,CMV - Plásticos,CMV,-251794.67
DRE,2024-04,4.01.003,CMV - Eletrônicos,CMV,-222132.18
DRE,2024-04,4.01.004,CMV - Embalagens,CMV,-158332.78
DRE,2024-04,4.01.005,CMV - Químicos,CMV,-273758.12
DRE,2024-04,5.01.001,Salarios e Ordenados CLT,Folha de Pagamento,-27972.51
DRE,2024-04,5.01.002,Encargos Sociais FGTS/INSS,Folha de Pagamento,-11851.75
DRE,2024-04,5.01.003,Pro-labore Administrativo,Folha de Pagamento,-6768.46
DRE,2024-04,5.02.001,Aluguel e Condominio,Custos Ocupacionais,-5306.65
DRE,2024-04,5.02.002,Energia Eletrica e Utilidades,Custos Ocupacionais,-2710.71
DRE,2024-04,5.03.001,Marketing Digital e Feiras,Marketing e Vendas,-3324.79
DRE,2024-04,5.03.002,Comissoes e Bonificacoes de Vendas,Marketing e Vendas,-2130.67
DRE,2024-04,5.04.001,Software ERP e Ferramentas SaaS,Despesas Administrativas (Software/SaaS),-2413.78
DRE,2024-04,5.04.002,Contabilidade e Assessoria Juridica,Despesas Administrativas (Software/SaaS),-1712.09
DRE,2024-04,5.04.003,Material de Escritorio e Viagens,Despesas Administrativas (Software/SaaS),-1057.07
DRE,2024-04,5.05.001,PIS sobre Faturamento,Impostos sobre Vendas,-33365.02
DRE,2024-04,5.05.002,COFINS sobre Faturamento,Impostos sobre Vendas,-153681.32
DRE,2024-05,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,360338.34
DRE,2024-05,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,451398.83
DRE,2024-05,3.01.003,Receita de Vendas - Eletrônicos,Faturamento de Vendas,431468.38
DRE,2024-05,3.01.004,Receita de Vendas - Embalagens,Faturamento de Vendas,335685.07
DRE,2024-05,3.01.005,Receita de Vendas - Químicos,Faturamento de Vendas,579300.3
DRE,2024-05,4.01.001,CMV - Metalmecânica,CMV,-195609.52
DRE,2024-05,4.01.002,CMV - Plásticos,CMV,-242054.69
DRE,2024-05,4.01.003,CMV - Eletrônicos,CMV,-239177.49
DRE,2024-05,4.01.004,CMV - Embalagens,CMV,-187089.0
DRE,2024-05,4.01.005,CMV - Químicos,CMV,-317076.38
DRE,2024-05,5.01.001,Salarios e Ordenados CLT,Folha de Pagamento,-28721.97
DRE,2024-05,5.01.002,Encargos Sociais FGTS/INSS,Folha de Pagamento,-11881.72
DRE,2024-05,5.01.003,Pro-labore Administrativo,Folha de Pagamento,-7068.8
DRE,2024-05,5.02.001,Aluguel e Condominio,Custos Ocupacionais,-5458.5
DRE,2024-05,5.02.002,Energia Eletrica e Utilidades,Custos Ocupacionais,-2768.66
DRE,2024-05,5.03.001,Marketing Digital e Feiras,Marketing e Vendas,-3559.81
DRE,2024-05,5.03.002,Comissoes e Bonificacoes de Vendas,Marketing e Vendas,-2135.29
DRE,2024-05,5.04.001,Software ERP e Ferramentas SaaS,Despesas Administrativas (Software/SaaS),-2491.68
DRE,2024-05,5.04.002,Contabilidade e Assessoria Juridica,Despesas Administrativas (Software/SaaS),-1698.27
DRE,2024-05,5.04.003,Material de Escritorio e Viagens,Despesas Administrativas (Software/SaaS),-1053.15
DRE,2024-05,5.05.001,PIS sobre Faturamento,Impostos sobre Vendas,-35610.15
DRE,2024-05,5.05.002,COFINS sobre Faturamento,Impostos sobre Vendas,-164022.51
DRE,2024-06,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,246963.2
DRE,2024-06,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,396067.35
DRE,2024-06,3.01.003,Receita de Vendas - Eletrônicos,Faturamento de Vendas,401786.9
DRE,2024-06,3.01.004,Receita de Vendas - Embalagens,Faturamento de Vendas,356061.78
DRE,2024-06,3.01.005,Receita de Vendas - Químicos,Faturamento de Vendas,445648.24
DRE,2024-06,4.01.001,CMV - Metalmecânica,CMV,-133131.6
DRE,2024-06,4.01.002,CMV - Plásticos,CMV,-212108.24
DRE,2024-06,4.01.003,CMV - Eletrônicos,CMV,-221351.68
DRE,2024-06,4.01.004,CMV - Embalagens,CMV,-193420.96
DRE,2024-06,4.01.005,CMV - Químicos,CMV,-244852.99
DRE,2024-06,5.01.001,Salarios e Ordenados CLT,Folha de Pagamento,-28314.64
DRE,2024-06,5.01.002,Encargos Sociais FGTS/INSS,Folha de Pagamento,-12285.5
DRE,2024-06,5.01.003,Pro-labore Administrativo,Folha de Pagamento,-7118.1
DRE,2024-06,5.02.001,Aluguel e Condominio,Custos Ocupacionais,-5647.55
DRE,2024-06,5.02.002,Energia Eletrica e Utilidades,Custos Ocupacionais,-2863.99
DRE,2024-06,5.03.001,Marketing Digital e Feiras,Marketing e Vendas,-3378.24
DRE,2024-06,5.03.002,Comissoes e Bonificacoes de Vendas,Marketing e Vendas,-1983.3
DRE,2024-06,5.04.001,Software ERP e Ferramentas SaaS,Despesas Administrativas (Software/SaaS),-2495.9
DRE,2024-06,5.04.002,Contabilidade e Assessoria Juridica,Despesas Administrativas (Software/SaaS),-1711.33
DRE,2024-06,5.04.003,Material de Escritorio e Viagens,Despesas Administrativas (Software/SaaS),-1067.51
DRE,2024-06,5.05.001,PIS sobre Faturamento,Impostos sobre Vendas,-30467.7
DRE,2024-06,5.05.002,COFINS sobre Faturamento,Impostos sobre Vendas,-140336.09
DRE,2024-07,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,294502.15
DRE,2024-07,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,425140.55
DRE,2024-07,3.01.003,Receita de Vendas - Eletrônicos,Faturamento de Vendas,431740.54
DRE,2024-07,3.01.004,Receita de Vendas - Embalagens,Faturamento de Vendas,385700.47
DRE,2024-07,3.01.005,Receita de Vendas - Químicos,Faturamento de Vendas,485058.43
DRE,2024-07,4.01.001,CMV - Metalmecânica,CMV,-158789.88
DRE,2024-07,4.01.002,CMV - Plásticos,CMV,-226626.87
DRE,2024-07,4.01.003,CMV - Eletrônicos,CMV,-244731.57
DRE,2024-07,4.01.004,CMV - Embalagens,CMV,-215670.96
DRE,2024-07,4.01.005,CMV - Químicos,CMV,-269756.83
DRE,2024-07,5.01.001,Salarios e Ordenados CLT,Folha de Pagamento,-29215.14
DRE,2024-07,5.01.002,Encargos Sociais FGTS/INSS,Folha de Pagamento,-12715.15
DRE,2024-07,5.01.003,Pro-labore Administrativo,Folha de Pagamento,-6589.93
DRE,2024-07,5.02.001,Aluguel e Condominio,Custos Ocupacionais,-5736.63
DRE,2024-07,5.02.002,Energia Eletrica e Utilidades,Custos Ocupacionais,-2652.59
DRE,2024-07,5.03.001,Marketing Digital e Feiras,Marketing e Vendas,-3262.14
DRE,2024-07,5.03.002,Comissoes e Bonificacoes de Vendas,Marketing e Vendas,-2061.33
DRE,2024-07,5.04.001,Software ERP e Ferramentas SaaS,Despesas Administrativas (Software/SaaS),-2448.31
DRE,2024-07,5.04.002,Contabilidade e Assessoria Juridica,Despesas Administrativas (Software/SaaS),-1749.56
DRE,2024-07,5.04.003,Material de Escritorio e Viagens,Despesas Administrativas (Software/SaaS),-1010.98
DRE,2024-07,5.05.001,PIS sobre Faturamento,Impostos sobre Vendas,-33365.35
DRE,2024-07,5.05.002,COFINS sobre Faturamento,Impostos sobre Vendas,-153682.8
DRE,2024-08,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,291487.11
DRE,2024-08,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,394982.55
DRE,2024-08,3.01.003,Receita de Vendas - Eletrônicos,Faturamento de Vendas,347353.61
DRE,2024-08,3.01.004,Receita de Vendas - Embalagens,Faturamento de Vendas,281883.69
DRE,2024-08,3.01.005,Receita de Vendas - Químicos,Faturamento de Vendas,557678.28
DRE,2024-08,4.01.001,CMV - Metalmecânica,CMV,-155692.26
DRE,2024-08,4.01.002,CMV - Plásticos,CMV,-205782.56
DRE,2024-08,4.01.003,CMV - Eletrônicos,CMV,-192938.15
DRE,2024-08,4.01.004,CMV - Embalagens,CMV,-158065.82
DRE,2024-08,4.01.005,CMV - Químicos,CMV,-316924.91
DRE,2024-08,5.01.001,Salarios e Ordenados CLT,Folha de Pagamento,-29086.5
DRE,2024-08,5.01.002,Encargos Sociais FGTS/INSS,Folha de Pagamento,-12189.43
DRE,2024-08,5.01.003,Pro-labore Administrativo,Folha de Pagamento,-6927.8
DRE,2024-08,5.02.001,Aluguel e Condominio,Custos Ocupacionais,-5678.5
DRE,2024-08,5.02.002,Energia Eletrica e Utilidades,Custos Ocupacionais,-2849.73
DRE,2024-08,5.03.001,Marketing Digital e Feiras,Marketing e Vendas,-3264.54
DRE,2024-08,5.03.002,Comissoes e Bonificacoes de Vendas,Marketing e Vendas,-1977.4
DRE,2024-08,5.04.001,Software ERP e Ferramentas SaaS,Despesas Administrativas (Software/SaaS),-2278.71
DRE,2024-08,5.04.002,Contabilidade e Assessoria Juridica,Despesas Administrativas (Software/SaaS),-1711.21
DRE,2024-08,5.04.003,Material de Escritorio e Viagens,Despesas Administrativas (Software/SaaS),-1020.96
DRE,2024-08,5.05.001,PIS sobre Faturamento,Impostos sobre Vendas,-30910.86
DRE,2024-08,5.05.002,COFINS sobre Faturamento,Impostos sobre Vendas,-142377.28
DRE,2024-09,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,344997.31
DRE,2024-09,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,390113.86
DRE,2024-09,3.01.003,Receita de Vendas - Eletrônicos,Faturamento de Vendas,388155.39
DRE,2024-09,3.01.004,Receita de Vendas - Embalagens,Faturamento de Vendas,239335.83
DRE,2024-09,3.01.005,Receita de Vendas - Químicos,Faturamento de Vendas,425122.67
DRE,2024-09,4.01.001,CMV - Metalmecânica,CMV,-186479.01
DRE,2024-09,4.01.002,CMV - Plásticos,CMV,-209809.29
DRE,2024-09,4.01.003,CMV - Eletrônicos,CMV,-213692.99
DRE,2024-09,4.01.004,CMV - Embalagens,CMV,-132932.35
DRE,2024-09,4.01.005,CMV - Químicos,CMV,-241007.91
DRE,2024-09,5.01.001,Salarios e Ordenados CLT,Folha de Pagamento,-28383.86
DRE,2024-09,5.01.002,Encargos Sociais FGTS/INSS,Folha de Pagamento,-11970.68
DRE,2024-09,5.01.003,Pro-labore Administrativo,Folha de Pagamento,-6777.95
DRE,2024-09,5.02.001,Aluguel e Condominio,Custos Ocupacionais,-5210.94
DRE,2024-09,5.02.002,Energia Eletrica e Utilidades,Custos Ocupacionais,-2830.27
DRE,2024-09,5.03.001,Marketing Digital e Feiras,Marketing e Vendas,-3385.18
DRE,2024-09,5.03.002,Comissoes e Bonificacoes de Vendas,Marketing e Vendas,-2080.23
DRE,2024-09,5.04.001,Software ERP e Ferramentas SaaS,Despesas Administrativas (Software/SaaS),-2355.48
DRE,2024-09,5.04.002,Contabilidade e Assessoria Juridica,Despesas Administrativas (Software/SaaS),-1732.16
DRE,2024-09,5.04.003,Material de Escritorio e Viagens,Despesas Administrativas (Software/SaaS),-1031.65
DRE,2024-09,5.05.001,PIS sobre Faturamento,Impostos sobre Vendas,-29497.46
DRE,2024-09,5.05.002,COFINS sobre Faturamento,Impostos sobre Vendas,-135867.1
DRE,2024-10,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,315098.81
DRE,2024-10,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,419983.08
DRE,2024-10,3.01.003,Receita de Vendas - Eletrônicos,Faturamento de Vendas,510569.41
DRE,2024-10,3.01.004,Receita de Vendas - Embalagens,Faturamento de Vendas,381096.03
DRE,2024-10,3.01.005,Receita de Vendas - Químicos,Faturamento de Vendas,468188.13
DRE,2024-10,4.01.001,CMV - Metalmecânica,CMV,-175093.61
DRE,2024-10,4.01.002,CMV - Plásticos,CMV,-229638.16
DRE,2024-10,4.01.003,CMV - Eletrônicos,CMV,-270492.71
DRE,2024-10,4.01.004,CMV - Embalagens,CMV,-212750.65
DRE,2024-10,4.01.005,CMV - Químicos,CMV,-262652.51
DRE,2024-10,5.01.001,Salarios e Ordenados CLT,Folha de Pagamento,-27646.88
DRE,2024-10,5.01.002,Encargos Sociais FGTS/INSS,Folha de Pagamento,-12306.68
DRE,2024-10,5.01.003,Pro-labore Administrativo,Folha de Pagamento,-7000.62
DRE,2024-10,5.02.001,Aluguel e Condominio,Custos Ocupacionais,-5506.89
DRE,2024-10,5.02.002,Energia Eletrica e Utilidades,Custos Ocupacionais,-2807.48
DRE,2024-10,5.03.001,Marketing Digital e Feiras,Marketing e Vendas,-3347.31
DRE,2024-10,5.03.002,Comissoes e Bonificacoes de Vendas,Marketing e Vendas,-1962.28
DRE,2024-10,5.04.001,Software ERP e Ferramentas SaaS,Despesas Administrativas (Software/SaaS),-2291.04
DRE,2024-10,5.04.002,Contabilidade e Assessoria Juridica,Despesas Administrativas (Software/SaaS),-1672.89
DRE,2024-10,5.04.003,Material de Escritorio e Viagens,Despesas Administrativas (Software/SaaS),-1018.01
DRE,2024-10,5.05.001,PIS sobre Faturamento,Impostos sobre Vendas,-34566.44
DRE,2024-10,5.05.002,COFINS sobre Faturamento,Impostos sobre Vendas,-159215.09
DRE,2024-11,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,413583.2
DRE,2024-11,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,479539.16
DRE,2024-11,3.01.003,Receita de Vendas - Eletrônicos,Faturamento de Vendas,572996.25
DRE,2024-11,3.01.004,Receita de Vendas - Embalagens,Faturamento de Vendas,512030.34
DRE,2024-11,3.01.005,Receita de Vendas - Químicos,Faturamento de Vendas,625312.8
DRE,2024-11,4.01.001,CMV - Metalmecânica,CMV,-222019.94
DRE,2024-11,4.01.002,CMV - Plásticos,CMV,-258741.13
DRE,2024-11,4.01.003,CMV - Eletrônicos,CMV,-312366.34
DRE,2024-11,4.01.004,CMV - Embalagens,CMV,-279954.99
DRE,2024-11,4.01.005,CMV - Químicos,CMV,-347572.89
DRE,2024-11,5.01.001,Salarios e Ordenados CLT,Folha de Pagamento,-29747.06
DRE,2024-11,5.01.002,Encargos Sociais FGTS/INSS,Folha de Pagamento,-12568.81
DRE,2024-11,5.01.003,Pro-labore Administrativo,Folha de Pagamento,-6824.8
DRE,2024-11,5.02.001,Aluguel e Condominio,Custos Ocupacionais,-5350.94
DRE,2024-11,5.02.002,Energia Eletrica e Utilidades,Custos Ocupacionais,-2720.22
DRE,2024-11,5.03.001,Marketing Digital e Feiras,Marketing e Vendas,-3347.39
DRE,2024-11,5.03.002,Comissoes e Bonificacoes de Vendas,Marketing e Vendas,-2080.58
DRE,2024-11,5.04.001,Software ERP e Ferramentas SaaS,Despesas Administrativas (Software/SaaS),-2473.79
DRE,2024-11,5.04.002,Contabilidade e Assessoria Juridica,Despesas Administrativas (Software/SaaS),-1715.61
DRE,2024-11,5.04.003,Material de Escritorio e Viagens,Despesas Administrativas (Software/SaaS),-980.84
DRE,2024-11,5.05.001,PIS sobre Faturamento,Impostos sobre Vendas,-42957.12
DRE,2024-11,5.05.002,COFINS sobre Faturamento,Impostos sobre Vendas,-197863.09
DRE,2024-12,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,448239.26
DRE,2024-12,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,555231.96
DRE,2024-12,3.01.003,Receita de Vendas - Eletrônicos,Faturamento de Vendas,615946.9
DRE,2024-12,3.01.004,Receita de Vendas - Embalagens,Faturamento de Vendas,393302.65
DRE,2024-12,3.01.005,Receita de Vendas - Químicos,Faturamento de Vendas,589221.12
DRE,2024-12,4.01.001,CMV - Metalmecânica,CMV,-238646.63
DRE,2024-12,4.01.002,CMV - Plásticos,CMV,-296911.25
DRE,2024-12,4.01.003,CMV - Eletrônicos,CMV,-345468.06
DRE,2024-12,4.01.004,CMV - Embalagens,CMV,-215967.6
DRE,2024-12,4.01.005,CMV - Químicos,CMV,-327310.24
DRE,2024-12,5.01.001,Salarios e Ordenados CLT,Folha de Pagamento,-29962.55
DRE,2024-12,5.01.002,Encargos Sociais FGTS/INSS,Folha de Pagamento,-12716.01
DRE,2024-12,5.01.003,Pro-labore Administrativo,Folha de Pagamento,-6790.49
DRE,2024-12,5.02.001,Aluguel e Condominio,Custos Ocupacionais,-5237.07
DRE,2024-12,5.02.002,Energia Eletrica e Utilidades,Custos Ocupacionais,-2862.67
DRE,2024-12,5.03.001,Marketing Digital e Feiras,Marketing e Vendas,-3479.48
DRE,2024-12,5.03.002,Comissoes e Bonificacoes de Vendas,Marketing e Vendas,-2003.55
DRE,2024-12,5.04.001,Software ERP e Ferramentas SaaS,Despesas Administrativas (Software/SaaS),-2405.54
DRE,2024-12,5.04.002,Contabilidade e Assessoria Juridica,Despesas Administrativas (Software/SaaS),-1735.68
DRE,2024-12,5.04.003,Material de Escritorio e Viagens,Despesas Administrativas (Software/SaaS),-999.41
DRE,2024-12,5.05.001,PIS sobre Faturamento,Impostos sobre Vendas,-42932.04
DRE,2024-12,5.05.002,COFINS sobre Faturamento,Impostos sobre Vendas,-197747.58
DRE,2025-01,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,301049.99
DRE,2025-01,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,337684.17
DRE,2025-01,3.01.003,Receita de Vendas - Eletrônicos,Faturamento de Vendas,316540.33
DRE,2025-01,3.01.004,Receita de Vendas - Embalagens,Faturamento de Vendas,339198.01
DRE,2025-01,3.01.005,Receita de Vendas - Químicos,Faturamento de Vendas,347652.69
DRE,2025-01,4.01.001,CMV - Metalmecânica,CMV,-215846.97
DRE,2025-01,4.01.002,CMV - Plásticos,CMV,-233429.67
DRE,2025-01,4.01.003,CMV - Eletrônicos,CMV,-238892.16
DRE,2025-01,4.01.004,CMV - Embalagens,CMV,-246011.95
DRE,2025-01,4.01.005,CMV - Químicos,CMV,-252924.17
DRE,2025-01,5.01.001,Salarios e Ordenados CLT,Folha de Pagamento,-73978.1
DRE,2025-01,5.01.002,Encargos Sociais FGTS/INSS,Folha de Pagamento,-31704.9
DRE,2025-01,5.01.003,Pro-labore Administrativo,Folha de Pagamento,-17613.83
DRE,2025-01,5.02.001,Aluguel e Condominio,Custos Ocupacionais,-14091.07
DRE,2025-01,5.02.002,Energia Eletrica e Utilidades,Custos Ocupacionais,-7045.53
DRE,2025-01,5.03.001,Marketing Digital e Feiras,Marketing e Vendas,-8806.92
DRE,2025-01,5.03.002,Comissoes e Bonificacoes de Vendas,Marketing e Vendas,-5284.15
DRE,2025-01,5.04.001,Software ERP e Ferramentas SaaS,Despesas Administrativas (Software/SaaS),-6164.84
DRE,2025-01,5.04.002,Contabilidade e Assessoria Juridica,Despesas Administrativas (Software/SaaS),-4403.46
DRE,2025-01,5.04.003,Material de Escritorio e Viagens,Despesas Administrativas (Software/SaaS),-2642.08
DRE,2025-01,5.05.001,PIS sobre Faturamento,Impostos sobre Vendas,-27095.07
DRE,2025-01,5.05.002,COFINS sobre Faturamento,Impostos sobre Vendas,-124801.51
DRE,2025-02,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,241338.16
DRE,2025-02,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,323177.95
DRE,2025-02,3.01.003,Receita de Vendas - Eletrônicos,Faturamento de Vendas,292921.29
DRE,2025-02,3.01.004,Receita de Vendas - Embalagens,Faturamento de Vendas,277941.21
DRE,2025-02,3.01.005,Receita de Vendas - Químicos,Faturamento de Vendas,275155.08
DRE,2025-02,4.01.001,CMV - Metalmecânica,CMV,-171501.12
DRE,2025-02,4.01.002,CMV - Plásticos,CMV,-225986.73
DRE,2025-02,4.01.003,CMV - Eletrônicos,CMV,-215234.71
DRE,2025-02,4.01.004,CMV - Embalagens,CMV,-205901.72
DRE,2025-02,4.01.005,CMV - Químicos,CMV,-200396.9
DRE,2025-02,5.01.001,Salarios e Ordenados CLT,Folha de Pagamento,-73978.1
DRE,2025-02,5.01.002,Encargos Sociais FGTS/INSS,Folha de Pagamento,-31704.9
DRE,2025-02,5.01.003,Pro-labore Administrativo,Folha de Pagamento,-17613.83
DRE,2025-02,5.02.001,Aluguel e Condominio,Custos Ocupacionais,-14091.07
DRE,2025-02,5.02.002,Energia Eletrica e Utilidades,Custos Ocupacionais,-7045.53
DRE,2025-02,5.03.001,Marketing Digital e Feiras,Marketing e Vendas,-8806.92
DRE,2025-02,5.03.002,Comissoes e Bonificacoes de Vendas,Marketing e Vendas,-5284.15
DRE,2025-02,5.04.001,Software ERP e Ferramentas SaaS,Despesas Administrativas (Software/SaaS),-6164.84
DRE,2025-02,5.04.002,Contabilidade e Assessoria Juridica,Despesas Administrativas (Software/SaaS),-4403.46
DRE,2025-02,5.04.003,Material de Escritorio e Viagens,Despesas Administrativas (Software/SaaS),-2642.08
DRE,2025-02,5.05.001,PIS sobre Faturamento,Impostos sobre Vendas,-23273.81
DRE,2025-02,5.05.002,COFINS sobre Faturamento,Impostos sobre Vendas,-107200.56
DRE,2025-03,3.01.001,Receita de Vendas - Metalmecânica,Faturamento de Vendas,317122.55
DRE,2025-03,3.01.002,Receita de Vendas - Plásticos,Faturamento de Vendas,312650.54
